set_num,review_score
2830-1,60.0
283-1,55.0
2831-1,60.0
2832-1,63.0
2840-1,35.0
2845-1,65.0
2846-1,62.0
2847-1,60.0
2848-1,49.0
2849-1,49.0
285-1,42.0
2852724-1,100.0
2853590-1,81.0
2853596-1,72.0
2853662-1,72.0
2853835-1,84.0
2854-1,56.0
2855028-1,56.0
2855046-1,56.0
2856028-1,56.0
2856079-1,68.0
2856080-1,80.0
2856081-1,91.0
2856134-1,55.0
2856197-1,77.0
2856203-1,96.0
2856217-1,96.0
2856223-1,96.0
2856226-1,96.0
2856236-1,100.0
2856238-1,80.0
2856453-1,80.0
2858-1,55.0
2870-1,82.0
2871-1,74.0
2872-1,69.0
2878-1,52.0
2879-1,80.0
2880-1,50.0
2881-1,70.0
2882-1,72.0
2883-1,70.0
2884-1,41.0
2885-1,84.0
2886-1,68.0
2887-1,55.0
2889-1,54.0
2890-1,58.0
2891-1,60.0
2892-1,62.0
290-2,75.0
2909-1,58.0
291-1,55.0
2914-1,70.0
2916-1,71.0
2920-1,71.0
292-1,75.0
2928-1,74.0
293-1,65.0
2931-1,80.0
2932-1,65.0
2933-1,75.0
2936-1,60.0
2937-1,45.0
2938-1,63.0
2942-1,50.0
2946-1,60.0
2947-1,63.0
2949-1,70.0
295-1,70.0
2951-1,53.0
2952-1,57.0
2953-1,55.0
2954-1,47.0
2955-1,65.0
296-1,70.0
2961-1,60.0
2962-1,71.0
2963-1,74.0
2964-1,56.0
2965-1,44.0
2971-1,50.0
2975-1,45.0
2976-1,55.0
2977-1,55.0
2979-1,45.0
2981-1,67.0
2982-1,40.0
2983-1,40.0
2984-1,45.0
2985-1,65.0
2993-1,55.0
2995-1,79.0
2996-1,64.0
2998-1,88.0
30000-1,79.0
3000-1,52.0
30001-1,85.0
30002-1,63.0
30003-1,83.0
30004-1,71.0
30005-1,74.0
30006-1,74.0
30008-1,79.0
30009-1,78.0
300-1,67.0
30010-1,70.0
3001-1,42.0
30011-1,78.0
30012-1,89.0
30013-1,78.0
30014-1,63.0
30015-1,79.0
30017-1,65.0
30018-1,68.0
30019-1,57.0
30021-1,93.0
30023-1,93.0
30024-1,84.0
30025-1,85.0
30026-1,82.0
30027-1,57.0
30028-1,69.0
30029-1,69.0
3003-1,48.0
30031-1,55.0
30032-1,78.0
30034-1,100.0
30040-1,68.0
30041-1,68.0
30042-1,79.0
30050-1,79.0
3005-1,57.0
30051-1,78.0
30052-1,73.0
30053-1,76.0
30054-1,70.0
30055-1,75.0
30056-1,79.0
30057-1,72.0
30058-1,87.0
30059-1,63.0
30061-1,75.0
30062-1,75.0
30068-1,86.0
30070-1,68.0
30071-1,65.0
30072-1,74.0
30073-1,73.0
30080-1,75.0
30081-1,62.0
30082-1,76.0
30083-1,72.0
30084-1,40.0
30085-1,67.0
30086-1,63.0
30087-1,62.0
30088-1,100.0
30090-1,74.0
30091-1,84.0
30-1,65.0
30100-1,68.0
30101-1,83.0
30102-1,63.0
30103-1,70.0
30105-1,85.0
30106-1,80.0
30107-1,70.0
30108-1,81.0
301-1,69.0
30110-1,70.0
30111-1,67.0
30112-1,80.0
30113-1,85.0
30115-1,76.0
30116-1,68.0
3012-1,56.0
30121-1,78.0
30130-1,67.0
3013-1,60.0
30131-1,77.0
30132-1,77.0
30133-1,77.0
30140-1,92.0
3014-1,55.0
30141-1,82.0
30150-1,59.0
3015-1,85.0
30151-1,75.0
30152-1,74.0
30160-1,74.0
3016-1,51.0
30161-1,69.0
30162-1,66.0
30163-1,77.0
30164-1,78.0
30165-1,76.0
30166-1,75.0
30167-1,68.0
30168-1,80.0
30170-1,80.0
3017-1,68.0
3018-1,55.0
30181-1,48.0
30183-1,65.0
30184-1,65.0
30185-1,70.0
30186-1,86.0
30187-1,74.0
30188-1,75.0
30189-1,72.0
30190-1,78.0
3019-1,66.0
30191-1,71.0
30192-1,72.0
30193-1,79.0
30194-1,74.0
30195-1,74.0
30196-1,78.0
30197-1,78.0
30200-1,76.0
3020-1,57.0
30201-1,72.0
30202-1,80.0
30203-1,79.0
30204-1,82.0
30205-1,72.0
302-1,67.0
30210-1,73.0
3021-1,58.0
30211-1,75.0
30212-1,79.0
30213-1,71.0
30215-1,71.0
30216-1,76.0
30220-1,82.0
3022-1,52.0
30221-1,69.0
30222-1,72.0
30224-1,82.0
30225-1,64.0
30226-1,60.0
30227-1,75.0
30228-1,70.0
30229-1,80.0
30230-1,71.0
3023-1,58.0
30231-1,75.0
30240-1,72.0
3024-1,65.0
30241-1,69.0
30242-1,76.0
30243-1,71.0
30244-1,75.0
30246-1,78.0
30247-1,73.0
30250-1,75.0
3025-1,74.0
30251-1,74.0
30252-1,70.0
30253-1,64.0
30254-1,77.0
30255-1,17.0
30256-1,72.0
30259-1,71.0
30260-1,85.0
3026-1,83.0
30261-1,60.0
30262-1,80.0
30263-1,63.0
30264-1,81.0
30265-1,68.0
30266-1,90.0
30270-1,79.0
3027-1,70.0
30271-1,71.0
30272-1,79.0
30274-1,83.0
30275-1,81.0
30276-1,75.0
30277-1,78.0
30278-1,79.0
30279-1,73.0
30280-1,71.0
3028-1,73.0
30281-1,76.0
30282-1,78.0
30283-1,76.0
30284-1,72.0
30285-1,73.0
30286-1,75.0
30291-1,84.0
30292-1,87.0
30293-1,75.0
30294-1,82.0
30300-1,81.0
30301-1,74.0
30302-1,53.0
30303-1,93.0
30304-1,72.0
30305-1,68.0
30310-1,76.0
30311-1,64.0
30312-1,71.0
30313-1,77.0
30314-1,83.0
30315-1,70.0
30320-1,67.0
3032-1,60.0
30321-1,100.0
30323-1,100.0
3033-1,88.0
30338-1,77.0
30339-1,100.0
30340-1,82.0
30341-1,84.0
30342-1,72.0
30346-1,69.0
30347-1,77.0
30348-1,81.0
30349-1,70.0
30350-1,81.0
30351-1,87.0
30352-1,74.0
30353-1,82.0
30354-1,81.0
30355-1,74.0
30356-1,90.0
30357-1,80.0
30358-1,82.0
30359-1,71.0
30360-1,84.0
3036-1,55.0
30361-1,60.0
30362-1,69.0
30364-1,90.0
30365-1,85.0
30366-1,70.0
30367-1,74.0
30368-1,74.0
30369-1,76.0
30370-1,79.0
30371-1,68.0
30372-1,75.0
30373-1,74.0
30374-1,63.0
30375-1,100.0
30376-1,77.0
30377-1,90.0
30379-1,77.0
30380-1,84.0
3038-1,43.0
30381-1,47.0
30382-1,73.0
30383-1,88.0
30384-1,76.0
30385-1,89.0
30386-1,63.0
3039-1,51.0
30393-1,87.0
30394-1,79.0
30396-1,88.0
30397-1,85.0
30398-1,82.0
30399-1,69.0
30400-1,81.0
30401-1,76.0
30402-1,76.0
30403-1,85.0
30404-1,76.0
30405-1,82.0
30406-1,75.0
30407-1,77.0
30408-1,80.0
30409-1,70.0
30410-1,66.0
3041-1,68.0
30411-1,79.0
30412-1,78.0
30420-1,70.0
30421-1,87.0
30422-1,73.0
30424-1,80.0
30425-1,78.0
30426-1,81.0
30427-1,71.0
30428-1,68.0
30446-1,80.0
30447-1,79.0
30448-1,68.0
30449-1,86.0
30450-1,78.0
30451-1,72.0
30452-1,81.0
30453-1,80.0
30460-1,85.0
30461-1,68.0
30463-1,90.0
30464-1,74.0
3047-1,79.0
30471-1,52.0
30472-1,88.0
30473-1,85.0
30474-1,83.0
30475-1,100.0
30476-1,75.0
30477-1,89.0
30478-1,81.0
30496-1,74.0
30497-1,74.0
30498-1,82.0
30499-1,88.0
3050-1,80.0
305-1,79.0
3051-1,63.0
3052-1,78.0
30521-1,78.0
30522-1,83.0
30523-1,86.0
30524-1,79.0
30525-1,84.0
30526-1,81.0
30527-1,89.0
30528-1,86.0
30529-1,84.0
30530-1,82.0
3053-1,85.0
30531-1,78.0
30532-1,87.0
30533-1,61.0
30534-1,70.0
30535-1,66.0
30536-1,59.0
30537-1,84.0
3054-1,50.0
30541-1,86.0
30542-1,78.0
30543-1,81.0
30545-1,81.0
30546-1,80.0
30547-1,87.0
30548-1,66.0
30550-1,62.0
3055-1,57.0
30551-1,76.0
30552-1,65.0
30553-1,61.0
30554-1,83.0
30555-1,80.0
30556-1,73.0
3056-1,49.0
3057-1,65.0
30571-1,87.0
30572-1,46.0
30573-1,78.0
30575-1,78.0
3058-1,58.0
3059-1,72.0
30601-1,67.0
30602-1,79.0
30603-1,74.0
30604-1,78.0
30605-1,88.0
30606-1,81.0
30607-1,91.0
30608-1,68.0
30609-1,80.0
306-1,80.0
30610-1,66.0
3061-1,77.0
30611-1,88.0
30612-1,72.0
30614-1,100.0
30615-1,71.0
30617-1,77.0
30620-1,100.0
30623-1,82.0
30624-1,90.0
3063-1,77.0
3065-1,83.0
3066-1,58.0
3067-1,66.0
3068-1,55.0
3069-1,52.0
3070-1,68.0
3071-1,62.0
3072-1,60.0
3073-1,62.0
3074-1,60.0
3075-1,70.0
3076-1,60.0
3077-1,60.0
308-1,60.0
3083-1,65.0
3085-1,58.0
3087-1,42.0
3088-1,67.0
3089-1,55.0
3090-1,57.0
309-1,60.0
3091-1,70.0
309-2,88.0
3093-1,56.0
3095-1,70.0
3099-1,76.0
31000-1,75.0
3100-1,37.0
31001-1,79.0
31002-1,74.0
31003-1,81.0
31004-1,83.0
31005-1,74.0
31006-1,79.0
31007-1,85.0
31008-1,80.0
31009-1,84.0
310-1,60.0
31010-1,91.0
3101-1,60.0
31011-1,89.0
31012-1,89.0
31013-1,88.0
31014-1,69.0
31015-1,84.0
31017-1,92.0
31018-1,83.0
31019-1,89.0
310-2,60.0
31020-1,86.0
31021-1,92.0
31022-1,93.0
31023-1,90.0
31024-1,86.0
31025-1,72.0
31026-1,92.0
31027-1,76.0
31028-1,84.0
31029-1,83.0
310-3,67.0
31030-1,78.0
31031-1,88.0
31032-1,86.0
31033-1,94.0
31034-1,90.0
31035-1,88.0
31036-1,79.0
31037-1,88.0
31038-1,89.0
31039-1,83.0
310-4,55.0
31040-1,78.0
31041-1,88.0
31042-1,86.0
31043-1,89.0
31044-1,85.0
31045-1,85.0
31046-1,88.0
31047-1,92.0
31048-1,92.0
31049-1,88.0
310-5,80.0
31050-1,82.0
31051-1,84.0
31052-1,89.0
31053-1,89.0
31054-1,84.0
31055-1,83.0
31056-1,69.0
31057-1,81.0
31058-1,94.0
31059-1,72.0
31060-1,82.0
31062-1,85.0
31063-1,84.0
31064-1,88.0
31065-1,83.0
31066-1,83.0
31067-1,86.0
31068-1,77.0
31069-1,64.0
31070-1,86.0
31071-1,85.0
31072-1,90.0
31073-1,86.0
31074-1,88.0
31075-1,75.0
31076-1,86.0
31077-1,84.0
31078-1,88.0
31079-1,88.0
31080-1,80.0
3108-1,72.0
31081-1,80.0
31083-1,95.0
31084-1,85.0
31085-1,85.0
31086-1,89.0
31087-1,86.0
31088-1,95.0
31089-1,80.0
31090-1,94.0
31091-1,92.0
31092-1,87.0
31093-1,83.0
31094-1,91.0
31095-1,89.0
31096-1,91.0
31097-1,89.0
31098-1,88.0
31099-1,93.0
31100-1,84.0
3110-1,62.0
31101-1,89.0
31102-1,86.0
31103-1,80.0
31104-1,92.0
31105-1,87.0
31107-1,95.0
31108-1,84.0
31109-1,92.0
311-1,66.0
31118-1,100.0
311-2,60.0
311-3,55.0
311-5,75.0
3115-1,62.0
3116-1,25.0
3117-1,75.0
3118-1,68.0
3119-1,63.0
31197-1,94.0
31198-1,78.0
31199-1,86.0
31200-1,84.0
3120-1,63.0
31201-1,73.0
31202-1,73.0
312-1,65.0
3121-1,55.0
312-2,72.0
312-3,68.0
3123-1,63.0
3124-1,57.0
3130-1,55.0
313-1,68.0
31313-1,86.0
313-2,65.0
3132-1,45.0
3134-1,37.0
3135-1,37.0
3136-1,55.0
3137-1,37.0
3138-1,37.0
3139-1,68.0
3140-1,33.0
314-1,66.0
3141-1,40.0
3142-1,60.0
3143-1,60.0
3144-1,52.0
3146-1,43.0
3148-1,68.0
3149-1,77.0
3150-1,60.0
315-1,55.0
3151-1,55.0
315-2,78.0
3152-1,50.0
315-3,58.0
315-4,60.0
3155-1,44.0
3156-1,40.0
3157-1,37.0
3158-1,43.0
3159-1,62.0
316-1,78.0
316-2,65.0
317-1,78.0
3177-1,80.0
3178-1,78.0
3179-1,77.0
3180-1,80.0
318-1,77.0
3181-1,80.0
3182-1,82.0
3183-1,79.0
3184-1,88.0
3185-1,80.0
3186-1,76.0
3187-1,75.0
3188-1,77.0
3189-1,79.0
3194-1,55.0
3195-1,50.0
3200-1,43.0
320-1,53.0
3201-1,40.0
320-2,58.0
3202-1,52.0
3203-1,55.0
3219-1,70.0
3220-1,50.0
322-1,75.0
3221-1,79.0
322-2,88.0
3222-1,83.0
3223-1,65.0
3225-1,78.0
323-1,82.0
3234-1,60.0
3240-1,48.0
324-1,60.0
3241-1,37.0
324-2,75.0
3242-1,43.0
3243-1,70.0
325-1,60.0
325-2,60.0
325-3,68.0
3259-1,68.0
326-1,67.0
3263-1,43.0
3264-1,54.0
3265-1,70.0
3266-1,60.0
3267-1,76.0
327-1,40.0
3271-1,52.0
3272-1,50.0
3273-1,62.0
3274-1,60.0
3275-1,50.0
3276-1,72.0
3278-1,67.0
3279-1,60.0
328-1,50.0
3281-1,77.0
328-2,62.0
3282-1,40.0
3283-1,75.0
3286-1,53.0
3287-1,53.0
3290-1,73.0
329-1,76.0
329-2,77.0
3292-1,55.0
3294-1,65.0
3296-1,50.0
3300001-1,75.0
3300002-1,70.0
3300003-1,82.0
3300005-1,90.0
3300014-1,81.0
3300020-1,72.0
330-1,72.0
3301-1,73.0
330-2,75.0
3302-1,79.0
330-3,72.0
3303-1,81.0
3304-1,79.0
3305-1,59.0
3306-1,64.0
3308-1,68.0
3309-1,71.0
3310-1,76.0
331-1,72.0
3311-1,83.0
3312-1,77.0
3313-1,90.0
3314-1,89.0
3315-1,84.0
3316-1,70.0
3317-1,50.0
3318-1,43.0
3320-1,66.0
332-1,64.0
3323-1,50.0
3324-1,58.0
3325-1,70.0
3326-1,75.0
3327-1,45.0
333-1,65.0
3331-1,50.0
333-2,71.0
3332-1,40.0
3333-1,50.0
3340-1,79.0
334-1,74.0
3341-1,78.0
3342-1,77.0
3343-1,73.0
3344-1,59.0
3345-1,59.0
3346-1,71.0
3347-1,61.0
3348-1,50.0
3349-1,55.0
3350-1,60.0
335-1,77.0
3351-1,61.0
335-2,83.0
3352-1,57.0
3353-1,70.0
3354-1,70.0
336-1,74.0
3365-1,66.0
3366-1,74.0
3367-1,80.0
3368-1,78.0
337-2,79.0
3380-1,53.0
338-1,70.0
3381-1,52.0
338-2,52.0
3382-1,58.0
3383-1,86.0
3384-1,52.0
3385-1,54.0
3386-1,53.0
3387-1,40.0
3388-1,40.0
3389-1,70.0
3390-1,40.0
3391-1,45.0
3-4,70.0
340-1,65.0
3401-1,58.0
3401-2,58.0
3402-1,74.0
340-3,67.0
3403-1,73.0
3404-1,75.0
3405-1,72.0
3406-1,75.0
3407-1,78.0
3408-1,74.0
3409-1,85.0
3410-1,65.0
341-1,70.0
3411-1,83.0
341-2,90.0
3412-1,56.0
3413-1,51.0
3414-1,57.0
3416-1,78.0
3418-1,40.0
3419-1,52.0
3420-1,71.0
342-1,80.0
3421-1,58.0
3422-1,69.0
3423-1,53.0
3424-1,54.0
3425-1,82.0
3426-1,81.0
3427-1,66.0
3428-1,59.0
3429-1,49.0
3430-1,58.0
343-1,87.0
3431-1,82.0
3432-1,81.0
3433-1,86.0
3438-1,78.0
3439-1,67.0
3440-1,68.0
344-1,67.0
344-2,50.0
3442-1,89.0
3444-1,71.0
3445-1,60.0
3446-1,88.0
3447-1,71.0
3448-1,87.0
3449-1,76.0
3450-1,80.0
345-1,66.0
3451-1,90.0
3453-1,60.0
3454-1,85.0
3455-1,60.0
3456-1,70.0
3458-1,63.0
3459-1,83.0
3460-1,64.0
3461-1,73.0
346-2,80.0
3462-1,63.0
3464-1,75.0
3466-1,55.0
3468-1,60.0
3469-1,83.0
3470-1,70.0
347-1,78.0
3471-1,72.0
347-2,43.0
3472-1,70.0
347-3,60.0
3473-1,67.0
3474-1,76.0
3475-1,60.0
3476-1,80.0
3477-1,70.0
3478-1,63.0
3479-1,60.0
3480-1,60.0
348-1,70.0
3481-1,77.0
348-2,63.0
3482-1,65.0
3483-1,80.0
3484-1,50.0
3486-1,65.0
3487-1,70.0
3488-1,63.0
3489-1,50.0
3490-1,67.0
349-1,72.0
3491-1,50.0
3492-1,87.0
3493-1,85.0
3494-1,86.0
3495-1,81.0
3496-1,79.0
3497-1,80.0
3498-1,76.0
3499-1,87.0
3500-1,87.0
350-1,70.0
3501-1,47.0
350-2,65.0
3502-1,45.0
3503-1,43.0
3504-1,44.0
3505-1,48.0
3506-1,56.0
3507-1,63.0
3508-1,70.0
3510-1,49.0
351-1,74.0
3511-1,70.0
3512-1,73.0
3513-1,65.0
3514-1,40.0
3515-1,65.0
3517-1,40.0
3518-1,35.0
3519-1,30.0
3520-1,73.0
352-1,65.0
3521-1,55.0
353-1,74.0
3531-1,50.0
3532-1,47.0
3535-1,76.0
3536-1,58.0
3537-1,68.0
3538-1,80.0
3540-1,37.0
354-1,79.0
3541-1,51.0
3542-1,36.0
3543-1,45.0
3544-1,20.0
3545-1,55.0
3548-1,56.0
3549-1,52.0
3550-1,57.0
355-1,85.0
3551-1,54.0
3552-1,43.0
3554-1,60.0
3555-1,67.0
3557-1,42.0
3558-1,42.0
3559-1,40.0
3560-1,51.0
356-1,73.0
3561-1,60.0
3562-1,50.0
3563-1,57.0
3564-1,51.0
3565-1,46.0
3566-1,53.0
3567-1,48.0
3568-1,35.0
3569-1,54.0
3570-1,58.0
357-1,81.0
3571-1,59.0
3578-1,83.0
3579-1,73.0
358-1,87.0
3581-1,61.0
3582-1,74.0
3584-1,75.0
3585-1,74.0
3587-1,65.0
3588-1,57.0
3590-1,65.0
3591-1,79.0
3598-1,80.0
3599-1,94.0
3-6,94.0
360-1,89.0
3601-1,63.0
3603-1,55.0
3604-1,55.0
3605-1,90.0
3606-1,57.0
3607-1,55.0
3608-1,65.0
3609-1,60.0
3610-1,62.0
361-1,77.0
3611-1,55.0
361-2,72.0
3612-1,50.0
3613-1,72.0
3615-2,80.0
3616-1,63.0
3617-1,67.0
3618-1,65.0
362-1,80.0
3621-1,82.0
3622-1,55.0
3623-1,72.0
3626-1,65.0
3628-1,78.0
3629-1,65.0
3630-1,60.0
363-1,81.0
3633-1,65.0
3634-1,78.0
3635-1,74.0
3636-1,74.0
3637-1,73.0
3638-1,53.0
3639-1,60.0
364-1,84.0
3644-1,60.0
3645-1,50.0
3646-1,70.0
3647-1,70.0
3648-1,76.0
3650-1,65.0
365-1,87.0
3651-1,70.0
3654-1,65.0
3655-1,40.0
3656-1,75.0
3658-1,80.0
3659-1,50.0
3661-1,84.0
3662-1,55.0
3664-1,55.0
3665-1,65.0
3666-1,65.0
3667-1,63.0
3668-1,65.0
3669-1,65.0
3670-1,70.0
367-1,86.0
3671-1,85.0
3672-1,73.0
3673-1,84.0
3674-1,85.0
3675-1,81.0
3676-1,65.0
3677-1,79.0
3678-1,75.0
3680-1,77.0
368-1,63.0
3681-1,50.0
3682-1,85.0
3683-1,81.0
369-1,74.0
3700-1,75.0
370-1,84.0
3701-1,67.0
3703-1,67.0
3704-1,60.0
3706-1,60.0
3707-1,70.0
3708-1,73.0
3709-1,73.0
3710-1,70.0
371-1,72.0
3711-1,70.0
371-3,82.0
3713-1,70.0
3718-1,55.0
372-1,72.0
3721-1,50.0
372-2,77.0
3722-1,58.0
3723-1,88.0
3724-1,85.0
3725-1,88.0
3726-1,87.0
3727-1,90.0
3729-1,77.0
3730-1,88.0
373-1,85.0
3731-1,74.0
373-2,60.0
3732-1,82.0
3733-1,84.0
3734-1,84.0
3735-1,78.0
3736-1,82.0
3737-1,67.0
3738-1,82.0
3739-1,90.0
3740-1,85.0
374-1,86.0
3741-1,87.0
374-2,80.0
3742-1,83.0
3743-1,81.0
3744-1,82.0
3745-1,80.0
3746-1,83.0
3747-1,85.0
3748-1,86.0
3750-1,72.0
3751-1,81.0
375-2,80.0
3752-1,68.0
375-3,82.0
3753-1,78.0
3754-1,78.0
3755-1,75.0
3756-1,65.0
3759-1,70.0
3760-1,60.0
376-1,82.0
376-2,80.0
3770-1,73.0
377-1,77.0
3771-1,75.0
377-2,72.0
3772-1,88.0
3773-1,70.0
3774-1,77.0
3775-1,73.0
378-1,87.0
3782-1,65.0
3784-1,65.0
3786-1,77.0
3787-1,72.0
3789-1,60.0
379-1,83.0
3791-1,55.0
379-2,71.0
3795-1,65.0
3796-1,60.0
3797-1,73.0
3798-1,37.0
3800-1,89.0
3801-1,79.0
3803-1,82.0
3804-1,88.0
3805-1,67.0
3806-1,81.0
3807-1,78.0
3808-1,73.0
3809-1,73.0
381-1,79.0
381-2,87.0
3815-1,71.0
3816-1,77.0
3817-1,79.0
3818-1,81.0
382-1,78.0
3825-1,82.0
3826-1,76.0
3827-1,82.0
3828-1,79.0
3829-1,88.0
3830-1,77.0
383-1,82.0
3831-1,79.0
383-2,88.0
3832-1,71.0
3833-1,64.0
3834-1,66.0
3835-1,68.0
3836-1,67.0
3837-1,74.0
3838-1,70.0
3839-1,63.0
3840-1,64.0
384-1,88.0
3841-1,81.0
3842-1,64.0
3843-1,77.0
3844-1,70.0
3845-1,73.0
3846-1,55.0
3847-1,79.0
3848-1,69.0
3849-1,95.0
3850011-1,30.0
3850033-1,30.0
3850070-1,30.0
3850-1,70.0
385-1,74.0
3851-1,81.0
385-2,77.0
3852-1,70.0
3853-1,71.0
3854-1,83.0
3855-1,74.0
3856-1,70.0
3857-1,83.0
3858-1,84.0
3859-1,74.0
3860-1,74.0
386-1,78.0
3861-1,64.0
3862-1,75.0
3865-1,73.0
3866-1,81.0
3868-1,72.0
3870-1,72.0
387-1,83.0
3874-1,77.0
3885-1,55.0
3900-1,60.0
390-2,86.0
391-1,82.0
3911-1,55.0
391114-1,55.0
391-2,55.0
3913-1,75.0
391406-1,75.0
391409-1,75.0
3914-1,74.0
391410-1,74.0
391503-1,74.0
391504-1,74.0
3915-1,60.0
3917-1,85.0
3918-1,40.0
3920-1,86.0
392-1,89.0
3922-1,80.0
3923-1,70.0
3924-1,67.0
3925-1,67.0
3928-1,79.0
3929-1,70.0
3930-1,62.0
393-1,73.0
3931-1,67.0
393-2,45.0
3932-1,74.0
3933-1,68.0
3934-1,62.0
3935-1,61.0
3936-1,69.0
3937-1,82.0
3938-1,78.0
3939-1,72.0
394-1,83.0
3942-1,76.0
3948-1,88.0
395-1,85.0
396-1,85.0
3961-1,77.0
398-1,91.0
3983-1,75.0
40000-1,77.0
4000010-1,65.0
4000013-1,85.0
4000016-1,70.0
4000026-1,82.0
4000028-1,84.0
4000029-1,100.0
4000030-1,100.0
40003-1,100.0
40004-1,76.0
40005-1,70.0
40008-1,52.0
40009-1,55.0
400-1,76.0
40010-1,55.0
40011-1,88.0
40012-1,52.0
40013-1,48.0
40014-1,53.0
40015-1,75.0
40016-1,69.0
40017-1,46.0
40018-1,80.0
40019-1,80.0
40020-1,92.0
4002019-1,93.0
4002020-1,93.0
4002-1,80.0
40021-1,77.0
40022-1,77.0
40024-1,78.0
40025-1,84.0
40026-1,50.0
40028-1,67.0
40029-1,72.0
40031-1,64.0
40032-1,72.0
40033-1,82.0
40034-1,67.0
40035-1,90.0
40037-1,90.0
40048-1,73.0
40049-1,72.0
4005-1,77.0
40051-1,70.0
40052-1,83.0
40053-1,66.0
40054-1,79.0
40055-1,75.0
40056-1,75.0
40057-1,79.0
40058-1,81.0
40059-1,64.0
40065-1,70.0
40068-1,70.0
40071-1,70.0
40076-1,69.0
40077-1,77.0
40078-1,77.0
40079-1,81.0
40080-1,73.0
40082-1,77.0
40083-1,84.0
40084-1,66.0
40085-1,84.0
40086-1,73.0
40090-1,82.0
40091-1,88.0
40092-1,70.0
40093-1,84.0
40094-1,90.0
40095-1,92.0
40096-1,69.0
40097-1,90.0
40098-1,74.0
40099-1,83.0
40-1,65.0
40100-1,80.0
4010-1,81.0
40101-1,80.0
40102-1,80.0
40104-1,62.0
40106-1,76.0
40107-1,77.0
40108-1,82.0
40109-1,66.0
40110-1,70.0
4011-1,82.0
40112-1,73.0
40114-1,92.0
40115-1,67.0
40118-1,67.0
401-2,63.0
40120-1,86.0
4012-1,76.0
40121-1,87.0
40122-1,74.0
40123-1,85.0
40124-1,75.0
40125-1,87.0
40127-1,60.0
40128-1,60.0
4013-1,67.0
40133-1,67.0
40138-1,77.0
40139-1,81.0
40140-1,91.0
4014-1,82.0
40141-1,70.0
40142-1,68.0
40143-1,79.0
40144-1,82.0
40145-1,76.0
40148-1,80.0
4015-1,83.0
40153-1,83.0
40154-1,86.0
40155-1,87.0
40156-1,100.0
40158-1,87.0
4016-1,40.0
40161-1,86.0
40165-1,90.0
40166-1,77.0
40170-1,70.0
4017-1,70.0
40171-1,87.0
40172-1,94.0
40173-1,80.0
40174-1,85.0
40176-1,85.0
40177-1,88.0
40178-1,88.0
40179-1,88.0
40180-1,82.0
4018-1,30.0
40181-1,80.0
40182-1,65.0
40183-1,66.0
40186-1,83.0
40187-1,86.0
40188-1,91.0
40190-1,74.0
4019-1,38.0
40192-1,76.0
40193-1,70.0
40194-1,66.0
40195-1,70.0
40196-1,80.0
40197-1,90.0
40198-1,98.0
40199-1,98.0
4020-1,85.0
40201-1,83.0
40202-1,83.0
40203-1,83.0
40204-1,75.0
40205-1,79.0
40206-1,79.0
402-1,75.0
4021-1,77.0
40214-1,77.0
40215-1,80.0
40219-1,84.0
40220-1,84.0
4022-1,86.0
40221-1,89.0
40222-1,65.0
40223-1,90.0
40225-1,58.0
40228-1,81.0
4023-1,54.0
40235-1,83.0
40236-1,87.0
40237-1,75.0
40239-1,75.0
4024-1,80.0
40250-1,80.0
4025-1,81.0
40251-1,89.0
40252-1,82.0
40253-1,63.0
40254-1,89.0
40256-1,72.0
40260-1,85.0
4026-1,68.0
40261-1,93.0
40262-1,89.0
40263-1,84.0
40264-1,100.0
40265-1,79.0
40266-1,76.0
40268-1,87.0
40270-1,89.0
4027-1,68.0
40271-1,88.0
40272-1,87.0
40273-1,84.0
40274-1,91.0
40279-1,91.0
40280-1,91.0
4028-1,69.0
40282-1,69.0
40285-1,69.0
40288-1,86.0
40289-1,86.0
40290-1,92.0
40291-1,88.0
40292-1,85.0
40293-1,86.0
40298-1,84.0
40299-1,88.0
40300-1,100.0
4030-1,89.0
40305-1,84.0
40306-1,74.0
40307-1,85.0
40308-1,87.0
40309-1,89.0
40310-1,79.0
4031-1,87.0
40311-1,76.0
40312-1,85.0
40313-1,88.0
40314-1,100.0
40320-1,65.0
4032-1,80.0
40333-1,91.0
40334-1,82.0
40335-1,82.0
40336-1,83.0
40337-1,93.0
40338-1,92.0
40341-1,74.0
40342-1,84.0
40343-1,66.0
40344-1,80.0
40345-1,87.0
40346-1,100.0
40347-1,63.0
40348-1,83.0
40349-1,87.0
40350-1,87.0
40351-1,97.0
40352-1,83.0
40353-1,88.0
40354-1,89.0
40355-1,76.0
40357-1,83.0
40358-1,81.0
40359-1,90.0
40360-1,90.0
40361-1,80.0
40362-1,80.0
40366-1,90.0
40367-1,93.0
40368-1,67.0
40370-1,90.0
4037-1,90.0
40371-1,74.0
40372-1,67.0
40373-1,91.0
40374-1,79.0
40375-1,80.0
40376-1,78.0
40377-1,72.0
40378-1,71.0
40379-1,90.0
40380-1,90.0
4038-1,60.0
40381-1,87.0
40382-1,85.0
40383-1,100.0
40384-1,100.0
40385-1,80.0
40386-1,70.0
40388-1,100.0
40391-1,83.0
40393-1,70.0
40395-1,70.0
40398-1,70.0
4040-1,18.0
40407-1,74.0
40408-1,82.0
40409-1,90.0
404-1,89.0
40410-1,92.0
40411-1,92.0
40412-1,36.0
40413-1,78.0
40414-1,78.0
40416-1,78.0
40418-1,86.0
