set_num,review_score
1066-1,75.0
10661-1,75.0
10663-1,75.0
10664-1,87.0
10665-1,68.0
10666-1,77.0
10667-1,90.0
10668-1,78.0
10669-1,88.0
1067-1,70.0
10671-1,68.0
10672-1,78.0
10673-1,92.0
10674-1,90.0
10675-1,83.0
10676-1,92.0
10677-1,79.0
10679-1,80.0
10680-1,85.0
1068-1,47.0
10682-1,80.0
10683-1,82.0
10684-1,93.0
10685-1,95.0
10686-1,85.0
10687-1,81.0
1069-1,62.0
10692-1,81.0
10693-1,95.0
10694-1,87.0
10695-1,95.0
10696-1,96.0
10697-1,89.0
10698-1,95.0
10699-1,82.0
10700-1,74.0
1070-1,34.0
10701-1,86.0
10702-1,88.0
10703-1,81.0
10704-1,89.0
10705-1,95.0
10706-1,83.0
10707-1,82.0
10708-1,85.0
10709-1,89.0
107-1,75.0
10712-1,89.0
10713-1,86.0
10714-1,85.0
10715-1,85.0
10717-1,79.0
107-2,83.0
10720-1,79.0
10721-1,83.0
10722-1,81.0
10723-1,89.0
10724-1,79.0
10725-1,79.0
10726-1,63.0
10727-1,82.0
10728-1,91.0
10729-1,78.0
107-3,60.0
10730-1,85.0
10731-1,88.0
10732-1,76.0
10733-1,81.0
10734-1,89.0
10735-1,94.0
10736-1,83.0
10737-1,81.0
10738-1,85.0
10739-1,85.0
10740-1,85.0
10742-1,77.0
10743-1,77.0
10744-1,87.0
10745-1,81.0
10746-1,89.0
10747-1,95.0
10748-1,94.0
10749-1,89.0
10750-1,81.0
10751-1,85.0
10753-1,72.0
10754-1,75.0
10755-1,83.0
10756-1,76.0
10757-1,67.0
10758-1,69.0
10759-1,85.0
10760-1,84.0
1076-1,65.0
10761-1,81.0
10762-1,89.0
10763-1,88.0
10764-1,79.0
10765-1,91.0
10766-1,86.0
10767-1,79.0
10768-1,79.0
10769-1,82.0
10770-1,80.0
10771-1,76.0
10801-1,95.0
10802-1,80.0
10803-1,87.0
10804-1,93.0
10805-1,90.0
10806-1,90.0
10807-1,87.0
10808-1,87.0
10809-1,88.0
108-1,75.0
10810-1,89.0
10811-1,97.0
10812-1,91.0
10813-1,100.0
10814-1,98.0
10815-1,95.0
10816-1,91.0
10818-1,87.0
10819-1,81.0
10820-1,70.0
10822-1,89.0
10823-1,92.0
10824-1,94.0
10825-1,80.0
10826-1,93.0
10827-1,94.0
10828-1,86.0
10829-1,86.0
10830-1,92.0
10831-1,95.0
10832-1,87.0
10833-1,96.0
10834-1,97.0
10835-1,98.0
10836-1,86.0
10837-1,89.0
10838-1,92.0
10839-1,96.0
10840-1,97.0
10841-1,98.0
10842-1,91.0
10843-1,90.0
10844-1,96.0
10845-1,75.0
10846-1,96.0
10847-1,90.0
10848-1,96.0
10849-1,78.0
10850-1,97.0
10851-1,90.0
10852-1,98.0
10853-1,100.0
10854-1,96.0
10855-1,94.0
10856-1,91.0
10857-1,91.0
10858-1,89.0
10859-1,97.0
10860-1,98.0
1086-1,94.0
10861-1,88.0
10862-1,92.0
10863-1,99.0
10864-1,98.0
10865-1,100.0
10867-1,94.0
10868-1,98.0
10869-1,99.0
10870-1,100.0
10871-1,88.0
10872-1,74.0
10873-1,88.0
10874-1,84.0
10875-1,92.0
10876-1,99.0
10877-1,88.0
10878-1,98.0
10879-1,89.0
10880-1,97.0
1088-1,55.0
10881-1,96.0
10882-1,81.0
10883-1,100.0
10884-1,93.0
10885-1,98.0
10886-1,93.0
10887-1,90.0
10889-1,98.0
10893-1,92.0
10894-1,87.0
10895-1,89.0
10897-1,100.0
10898-1,96.0
10899-1,90.0
10900-1,90.0
10901-1,87.0
10902-1,74.0
10903-1,100.0
10904-1,96.0
10906-1,98.0
10907-1,100.0
10908-1,100.0
10909-1,98.0
10910-1,95.0
10913-1,98.0
10915-1,84.0
10917-1,98.0
10918-1,94.0
10919-1,60.0
10920-1,79.0
10921-1,91.0
10924-1,96.0
10925-1,89.0
10926-1,91.0
10927-1,96.0
10928-1,100.0
10929-1,91.0
10934-1,100.0
10937-1,86.0
1094-1,67.0
1095-1,47.0
1096-1,60.0
1097-1,51.0
1098-1,57.0
1099-1,62.0
1-10,75.0
1100-1,78.0
11001-1,97.0
11002-1,95.0
11003-1,60.0
11004-1,96.0
11005-1,76.0
11006-1,98.0
11007-1,96.0
11008-1,98.0
11009-1,87.0
11010-1,95.0
1101-1,48.0
11011-1,100.0
1102-1,58.0
1105-1,55.0
1107-1,60.0
1110-1,55.0
111-1,55.0
111-2,71.0
112006-1,71.0
112-1,65.0
1121-1,55.0
112-2,86.0
1123-1,50.0
1124-1,60.0
1127-1,63.0
1128-1,63.0
1129-1,63.0
1130-1,65.0
113-1,68.0
113-2,72.0
114-1,77.0
114-2,58.0
1147-1,55.0
1149-1,80.0
115-1,68.0
115-2,70.0
116-1,72.0
116-2,75.0
117-1,70.0
11717-1,100.0
1177-1,75.0
1180-1,57.0
118-1,83.0
1181-1,68.0
1182-1,63.0
1183-1,73.0
1184-1,76.0
1185-1,74.0
1186-1,70.0
1187-1,75.0
1188-1,55.0
1189-1,55.0
1190-1,55.0
119-1,79.0
1191-1,55.0
1193-1,67.0
11938-1,67.0
1194-1,32.0
1195-1,79.0
1196-1,62.0
1197-1,64.0
1198-1,67.0
1199-1,67.0
120-1,79.0
120-2,50.0
1202-1,30.0
1205-1,75.0
121-1,55.0
121801-1,80.0
121802-1,90.0
