set_num,value
41356-1,7.61
41357-1,7.61
41358-1,7.61
41359-1,20.7
41361-1,36.7
41365-1,6.34
41366-1,36.66
41367-1,44.83
41368-1,62.16
41369-1,176.97
41371-1,43.23
41373-1,80.84
41374-1,49.78
41375-1,200.59
41376-1,29.32
41378-1,61.58
41379-1,74.54
41381-1,129.34
41384-1,8.88
41385-1,8.88
41386-1,8.88
41387-1,8.88
41388-1,8.88
41389-1,11.84
41391-1,38.06
41392-1,26.97
41393-1,51.86
41394-1,74.37
41395-1,86.75
41396-1,11.84
41397-1,26.95
41410-1,11.87
41411-1,12.19
41412-1,21.08
41413-1,11.87
41421-1,24.42
41422-1,46.18
41423-1,44.73
41424-1,99.13
41425-1,11.84
41426-1,24.42
41427-1,48.62
41428-1,61.98
41429-1,95.19
41431-1,64.67
41433-1,116.74
41439-1,11.66
41443-1,18.09
41448-1,61.41
41449-1,87.65
41451-1,6.84
41452-1,8.62
41453-1,22.47
41454-1,31.12
41455-1,71.85
41456-1,56.5
41485-1,20.0
41486-1,75.61
41487-1,56.92
41488-1,23.32
41501-1,8.88
41502-1,12.22
41504-1,15.42
41505-1,6.87
41507-1,47.7
41509-1,15.69
41510-1,12.35
41512-1,15.69
6061033,10.0
41514-1,10.0
41515-1,11.37
41517-1,12.52
41518-1,10.09
41519-1,12.55
41520-1,6.34
41521-1,6.73
41522-1,12.55
41523-1,12.55
41524-1,11.11
41525-1,7.07
41526-1,6.49
41527-1,7.77
41528-1,4.63
41529-1,7.33
41530-1,17.44
6102024,5.52
41532-1,28.42
41533-1,15.54
41534-1,6.17
41535-1,8.25
41536-1,10.8
41537-1,6.14
41538-1,6.23
41539-1,6.17
41540-1,15.35
41541-1,14.51
41542-1,8.26
41543-1,12.55
41544-1,14.51
41545-1,9.66
41546-1,7.1
41547-1,7.84
41548-1,15.59
41549-1,9.06
41550-1,12.46
41551-1,32.88
41552-1,10.93
41553-1,9.93
41554-1,8.25
41555-1,7.58
41556-1,8.73
41557-1,12.11
41558-1,10.37
41559-1,8.21
41560-1,12.56
41562-1,6.84
41563-1,7.95
41564-1,9.94
41565-1,13.89
41567-1,20.74
41569-1,10.37
41570-1,12.04
41571-1,13.89
41573-1,19.15
41575-1,16.59
41576-1,22.83
41578-1,15.0
41585-1,23.78
41586-1,15.0
41587-1,15.57
41588-1,30.85
41589-1,60.53
41590-1,41.31
41591-1,8.88
41592-1,30.86
41593-1,27.92
41594-1,10.0
41595-1,29.69
41596-1,15.0
41597-1,100.27
6208580,20.0
41599-1,21.6
41600-1,20.0
41601-1,11.53
41602-1,10.82
41603-1,21.6
41604-1,38.58
41605-1,34.07
41606-1,23.15
41607-1,21.6
41608-1,12.93
41609-1,29.51
41616-1,38.58
41617-1,30.85
41619-1,38.36
41620-1,38.36
41624-1,70.0
41625-1,91.05
979272,3.37
41628-1,15.51
41629-1,57.74
41634-1,229.93
41635-1,229.93
41636-1,229.93
41637-1,202.59
4164,29.24
4165-1,54.01
4166,66.28
41662-1,11.66
41663-1,11.66
41664-1,11.66
6333186,11.66
41666-1,11.66
4167-1,131.17
4182-1,68.79
4183-1,90.0
41900-1,6.79
41901-1,6.79
41902-1,6.79
41903-1,6.79
41906-1,24.47
41908-1,4.52
41912-1,6.79
41914-1,24.47
41916-1,4.52
41917-1,6.94
41919-1,6.79
4192-1,86.4
41921-1,4.64
6333102,24.15
41925-1,18.13
41926-1,30.21
4193-1,93.36
4194-1,242.17
4195-1,290.4
42000-1,99.68
42001-1,10.72
42002-1,12.97
42004-1,40.45
42005-1,41.09
42006-1,100.4
42007-1,55.34
42008-1,385.79
42009-1,337.31
42010-1,19.67
42011-1,11.57
42020-1,6.89
4202-1,27.78
42021-1,11.57
42022-1,72.65
42023-1,105.08
42024-1,190.31
42025-1,136.56
42026-1,18.44
42027-1,18.54
42028-1,61.79
4203-1,30.09
42031-1,10.8
42032-1,48.22
42033-1,20.0
42034-1,49.38
42036-1,72.65
42037-1,131.17
42038-1,92.51
42039-1,152.77
42040-1,61.73
4204-1,169.75
42041-1,154.32
6100204,291.2
42043-1,389.21
42044-1,14.63
42045-1,20.74
42046-1,51.81
42047-1,21.6
42048-1,47.76
42049-1,82.63
42050-1,54.56
42052-1,208.1
42053-1,180.0
42054-1,253.75
42055-1,374.52
42056-1,510.29
42057-1,12.99
42058-1,12.45
42059-1,18.52
42061-1,70.82
4206-2,40.89
42062-1,84.87
42063-1,97.22
42064-1,265.58
42065-1,151.23
42066-1,169.59
42068-1,151.23
42069-1,181.63
42070-1,360.0
42071-1,16.9
42072-1,28.87
42073-1,27.01
42074-1,61.71
42075-1,61.71
42076-1,86.4
42077-1,112.44
42078-1,260.79
42079-1,128.6
42081-1,129.23
42082-1,250.82
42083-1,431.42
42084-1,9.26
42088-1,13.73
42089-1,20.06
42090-1,15.28
4209-1,38.07
42091-1,15.28
42092-1,37.27
42093-1,49.23
42094-1,110.93
42095-1,115.72
42096-1,155.68
42097-1,123.94
42098-1,180.92
42099-1,249.84
42101-1,15.42
42102-1,11.87
42103-1,24.1
6288769,30.85
42105-1,61.71
42107-1,65.58
42108-1,189.13
42109-1,123.45
42110-1,231.0
42111-1,146.6
42113-1,516.92
42114-1,241.06
42115-1,498.29
42116-1,11.87
42117-1,11.87
42118-1,24.1
42119-1,24.1
42122-1,62.98
42123-1,63.12
42124-1,171.0
4310-1,2.7
43170-1,20.76
43173-1,13.73
43174-1,25.0
43175-1,24.47
43176-1,24.47
43178-1,51.47
43180-1,62.98
6296366,70.69
43183-1,66.27
43186-1,15.68
43187-1,76.73
43188-1,49.23
43191-1,36.16
43192-1,49.67
435-1,61.71
44001-1,13.73
44002-1,11.36
44003-1,10.8
44004-1,12.35
44005-1,13.21
44006-1,15.43
44007-1,14.7
44010-1,22.0
4401-1,20.06
44011-1,20.0
44014-1,60.18
44015-1,31.12
44018-1,13.78
4402-1,60.95
44023-1,19.98
44024-1,16.9
44025-1,14.52
4408-1,17.77
4415-1,7.26
4416-1,8.3
442-1,17.75
4427-1,5.19
4429-1,45.52
4431-1,50.76
4432-1,29.29
4433-1,23.07
4435-1,23.09
4436-1,4.32
4437-1,4.57
4440-1,20.68
4441-1,17.3
4475-1,112.44
4476-1,98.51
4477-1,35.0
4479-1,171.25
4480-1,171.25
4482-1,615.72
45025-1,293.05
4505-1,9.26
4507-1,72.6
4511-1,615.72
4512-1,288.18
4513-1,245.36
4514-1,52.08
4515-1,79.94
4519,61.65
4525-1,38.5
4526-1,15.43
4527-1,15.34
4528-1,34.26
4529-1,617.26
4530-1,12.86
45304-1,33.8
45305-1,36.88
4531,69.44
4532,69.44
4533,33.56
4536-1,62.5
4537-1,384.25
4541,152.77
4543-1,54.78
4544,209.29
4546-1,212.75
4548,82.37
45500-1,124.55
45501-1,119.26
45502-1,42.23
45503-1,54.11
45504-1,54.39
45505-1,42.63
45506-1,43.25
45507-1,17.01
6039922,60.03
45509-1,48.43
4551,1155.83
4552,87.96
4553,80.96
4554-1,694.42
4555,185.16
4557,60.95
4558-1,461.79
4559,288.18
4560,290.69
45601-1,411.87
45602-1,68.1
45603-1,66.6
45604-1,68.1
45606-1,52.97
45610-1,98.61
4563-1,192.9
4564-1,1047.8
4565,770.04
4566,1.54
4567-1,3.09
45678-1,650.61
4571,1.54
45802-1,308.63
4582-1,5.94
4584-1,7.72
4586-1,38.58
4588-1,69.44
4590-1,5.19
4592-1,13.87
4597-1,21.62
4600-1,29.32
4601-1,10.0
4605-1,31.53
4608-1,15.43
4611-1,66.34
4612-1,10.0
4616-1,15.42
4617-1,9.0
4618-1,73.92
4628-1,57.1
4631-1,48.76
4642-1,11.57
4643-1,16.97
4652-1,9.26
4654-1,77.14
4655-1,54.0
4657-1,139.93
4659602,3.47
4664-1,77.14
4680-1,13.12
4692-1,6.04
4693-1,16.9
4701-1,23.15
4702-1,25.37
4705-1,54.01
4706-1,70.99
4707-1,54.01
4708-1,77.16
4709-1,108.02
4711-1,10.8
4712-1,33.19
4714-1,64.71
471701,4.98
471801-1,3.38
471905-1,3.71
471906-1,4.24
4719-1,30.86
4720-1,92.59
4723-1,20.0
4726-1,23.15
4727-1,27.78
4728-1,83.33
4729-1,98.76
4731-1,18.52
4733-1,37.04
4735-1,27.28
4736-1,52.5
4737-1,43.25
4738-1,31.28
4744-1,21.63
4746-1,50.76
4748-1,185.18
4750-1,63.4
4752-1,101.51
4753-1,123.45
4754-1,84.87
4755-1,86.42
4756-1,255.56
4757-1,308.62
4758-1,185.18
4762-1,350.21
4766-1,154.3
4767-1,229.93
4768-1,362.64
4790-1,6.18
4791-1,20.0
4792-1,16.13
4794-1,50.0
4795-1,63.44
4797-1,11.24
4798-1,12.33
4799-1,12.27
480-1,19.29
4806-1,11.97
4811-1,19.54
4817,62.81
4818-1,26.23
4837-1,9.26
4838-1,3.86
4840-1,117.33
4841-1,126.89
4842-1,108.01
4850-1,85.27
485-1,16.81
4853-1,54.32
4854-1,139.58
4865-1,38.05
4866-1,262.66
4867-1,87.12
4868-1,7.64
4869-1,16.48
4878-1,6.17
4882-1,18.52
4883-1,30.9
4886-1,100.31
489-1,115.74
4892-1,183.64
4894-1,67.25
4895-1,102.78
4896-1,101.51
4900-1,4.44
490-1,15.43
4912-1,30.0
4918-1,2.54
4939-1,13.89
494-1,15.43
4956-1,172.98
4957-1,151.23
4958-1,158.61
4962-1,27.76
4963-1,27.01
4969-1,11.57
497-1,279.16
4971-1,50.91
4977-1,38.58
4981-1,51.41
4982-1,211.9
4991-1,8.56
4992-1,4.32
4995-1,14.66
4996-1,50.15
5000062,34.23
5000063,51.81
5000202,17.3
5001621,10.0
5001623,14.0
5001709,30.0
5002045-1,15.23
5002113-1,4.44
5002122-1,17.25
5002123-1,152.27
5002125-1,10.15
5002126-1,13.87
5002127-1,6.0
5002130-1,25.38
5002145-1,20.15
5002203-1,11.16
5002204-1,8.5
5002928-1,3.08
5002938-1,7.72
5002941-1,1.27
5002943-1,12.05
5002946-1,154.31
5002947-1,24.74
5002948-1,6.28
5003084-1,19.03
5003085-1,14.95
5004081-1,18.82
5004406-1,3.81
5004408-1,3.95
6153660,19.42
5004420-1,15.87
5004549-1,138.88
5004590-1,441.57
5004916-1,3.89
5004920-1,11.74
5004928-1,3.23
5004929-1,10.14
5004934-1,10.26
5004936-1,6.28
5005156-1,4.43
5005230-1,4.46
5005231-1,8.57
5005233-1,8.63
5005236-1,9.09
5005237-1,8.98
5005238-1,13.62
5005239-1,9.73
5005250-1,6.34
5005251-1,12.68
5005358-1,27.92
5006085-1,27.5
5006-1,5.71
6346098-1,120.0
5030-1,15.28
5071-1,53.93
5077-1,50.92
5106-1,44.75
51515-1,454.39
5190-1,13.82
5257-1,20.06
540-2,7.72
5521-1,27.78
5524-1,149.73
5526-1,587.49
554-1,25.38
5541-1,337.95
5545-1,66.74
5550-1,62.5
5560-1,30.79
5563,615.72
5571,1851.79
5580-1,117.28
5585-1,25.0
5591-1,770.04
5600,54.01
5610-1,15.43
5612-1,6.93
5613-1,7.7
5614-1,15.42
561512-1,4.49
561605-1,3.48
561606-1,3.96
561607-1,3.87
561611-1,5.14
561703-1,3.62
561704-1,3.51
561705-1,4.82
561706-1,5.41
561801-1,3.3
561802-1,3.97
561803-1,4.44
561804-1,2.91
561805-1,4.31
561806-1,6.81
561807-1,7.55
561809-1,5.54
561811-1,3.96
561908-1,5.34
561909-1,5.09
562004-1,5.08
562009-1,5.69
5620-1,8.56
5621-1,3.47
5626-1,13.23
5632-1,11.57
5645-1,13.1
5650-1,20.51
5657-1,30.86
5678-1,11.57
5685-1,11.57
5748-1,74.23
5761-1,4.93
5762-1,5.4
5763-1,4.32
5764-1,13.53
5765-1,15.0
5766-1,50.73
5770-1,76.11
5771-1,95.14
5793-1,11.57
5811,23.13
5813-1,27.01
5817-1,46.29
5819-1,61.73
5832-1,1.9
5838-1,69.24
5850-1,92.36
5861-1,60.82
5864-1,1.73
5865-1,1.73
5866-1,13.78
5867-1,20.77
5870,76.21
588-1,76.98
5882-1,10.79
5883-1,25.2
5884-1,26.17
5885-1,154.07
5886-1,74.0
5887-1,200.14
5888-1,56.99
5890-1,121.93
5891-1,70.97
5892-1,41.19
5901,30.29
5903-1,17.31
5906,44.65
5911-1,6.16
5919-1,86.55
5928-1,21.64
5934,24.7
5936,41.92
5938-1,31.16
5940-1,146.9
5942-1,46.11
5955-1,50.0
5956,269.44
5961-1,142.28
5963-1,101.12
5969-1,7.38
5970-1,23.09
5971-1,25.39
5973-1,139.72
5974-1,132.79
5978-1,161.66
5981-1,23.09
5982-1,34.43
5984-1,162.6
5994-1,5.0
5998-1,6.0
5999-1,6.97
60000-1,3.49
60002-1,19.03
60004-1,92.38
60006-1,3.64
60007-1,15.4
60009-1,43.28
600-1,10.78
60011-1,5.18
60013-1,25.65
60014-1,58.46
60015-1,50.0
60016-1,28.81
60017-1,15.4
60018-1,38.49
60019-1,13.09
60020-1,35.33
60021-1,69.28
6024977,127.03
6025046,46.19
60026-1,152.44
60027-1,53.87
60032-1,6.0
60033-1,12.0
60034-1,29.57
6059166,53.89
60036-1,198.61
6004-1,25.25
60041-1,6.21
60042-1,20.49
60043-1,26.94
60044-1,19.25
60045-1,73.13
60046-1,69.28
60047-1,130.87
60048-1,34.43
60049-1,30.79
60050-1,207.24
60051-1,264.51
60052-1,24.07
60053-1,8.47
60054-1,15.0
60055-1,9.17
6059062,19.25
60059-1,117.01
60060-1,41.45
60061-1,70.0
60064-1,130.1
60065-1,7.7
60067-1,40.0
60068-1,85.68
60069-1,146.8
60070-1,44.65
60073-1,61.58
60074-1,46.17
60078-1,25.97
60079-1,38.95
60081-1,23.23
60082-1,34.95
60083-1,36.18
60084-1,13.86
60085-1,28.58
60090-1,5.72
6009-1,18.48
60092-1,83.14
60093-1,60.02
6100335,250.42
60096-1,251.01
60097-1,254.05
60098-1,384.91
6010-1,23.09
60101-1,26.56
60102-1,107.77
60103-1,34.13
60104-1,340.94
60105-1,5.72
60107-1,31.16
60108-1,32.0
60109-1,137.03
60110-1,184.76
6011-1,15.24
60113-1,8.66
60114-1,10.0
60115-1,17.31
60116-1,50.87
60119-1,60.05
601-2,21.56
6012-1,18.32
60121-1,12.09
60122-1,50.81
60123-1,53.81
60124-1,195.53
60125-1,260.2
60126-1,10.76
60128-1,23.09
60130-1,115.47
6013-1,13.51
60131-1,45.87
60132-1,129.87
60134-1,55.41
60135-1,16.45
60137-1,29.15
60138-1,30.13
60139-1,35.41
60140-1,154.89
60141-1,220.0
60144-1,10.0
60145-1,8.63
60146-1,8.38
60147-1,32.13
60148-1,15.4
60149-1,22.0
60150-1,21.56
60151-1,27.71
60153-1,47.03
60154-1,153.95
60156-1,6.92
60158-1,24.62
60159-1,63.52
60160-1,70.54
601601-1,4.62
601602-1,5.08
6016-1,171.38
60161-1,189.63
60164-1,20.79
60166-1,69.8
60167-1,172.7
60171-1,10.15
60172-1,35.63
60173-1,84.68
60174-1,153.96
60175-1,90.84
60176-1,16.5
6208862,10.01
60178-1,11.43
60179-1,27.95
60180-1,26.94
60181-1,33.87
60183-1,50.75
60184-1,9.24
60185-1,13.97
60186-1,75.44
60188-1,138.16
60190-1,4.14
60191-1,13.09
60192-1,33.03
60193-1,44.97
60194-1,53.12
60195-1,137.03
60196-1,86.99
60197-1,38.43
60198-1,38.43
60200-1,275.59
6020-1,18.53
60202-1,67.74
60203-1,92.36
60204-1,153.96
60205-1,30.01
60212-1,12.16
60213-1,17.71
60214-1,34.62
60215-1,44.65
60216-1,183.03
60217-1,38.2
60218-1,11.43
60219-1,11.25
602-2,26.94
60220-1,23.08
6022-1,23.09
60221-1,22.87
60222-1,17.37
60223-1,34.62
60224-1,13.7
60225-1,27.47
60227-1,62.0
6251726,121.16
60230-1,76.97
6023-1,30.79
60231-1,23.09
60233-1,92.36
60234-1,38.0
60238-1,22.18
60239-1,11.55
60240-1,18.48
60241-1,11.66
60242-1,22.94
60243-1,33.26
60244-1,54.13
60245-1,50.81
60246-1,124.71
60247-1,11.66
60248-1,23.32
60249-1,11.37
60250-1,10.16
60251-1,13.96
60252-1,19.86
60253-1,23.32
60254-1,35.26
60255-1,16.77
60256-1,33.21
60257-1,59.89
60258-1,116.94
60260-1,35.55
60261-1,60.12
60262-1,127.59
60263-1,11.66
60264-1,34.64
60265-1,72.16
60266-1,211.62
60267-1,36.83
60270-1,80.83
6027,21.48
60271-1,289.64
60272-1,27.95
60273-1,27.95
60274-1,27.95
60275-1,11.72
60276-1,23.32
60279-1,11.72
60280-1,23.32
60281-1,35.64
6332422,60.63
60290-1,35.64
60291-1,59.89
60292-1,124.42
60304-1,23.32
6033,19.06
6034-1,38.49
6036-1,30.0
6037-1,30.29
6039-1,460.35
6041-1,104.1
604-2,19.25
6042-1,95.26
6045-1,38.47
6047,51.93
6048-1,165.14
6049-1,337.18
605-2,152.42
6054-1,115.47
6056-1,54.06
6059-1,614.31
6066-1,192.45
6067-1,200.15
607-1,8.47
6071-1,381.09
6074-1,238.64
6075-1,177.06
6075-2,254.07
6077-1,46.19
6078-1,1.53
6080-1,200.15
6081-1,401.01
608-2,6.08
6082-1,138.57
6085-1,230.94
6086-1,540.59
6087-1,537.33
6089-1,130.87
6090-1,461.89
609-1,31.75
6097,225.04
6098,230.94
610-1,14.63
6102-1,92.38
6103-1,171.38
6105-1,61.57
6110-1,6.54
611-1,3.08
6115-1,6.18
612-1,6.93
6125,8.0
6128-1,12.15
6131-1,34.62
6132-1,53.89
6134-1,61.58
6135-1,16.64
614-1,6.54
6144-1,38.49
6145-1,15.4
6160-1,229.4
6166-1,12.7
6167-1,61.58
617-1,23.09
6175,112.52
618-1,10.7
6190-1,194.75
6195,182.05
6198,146.27
6202-1,15.45
6203-1,37.74
6205-1,38.49
6206-1,107.98
6207-1,19.06
6208-1,77.9
6210-1,254.07
621-2,64.66
6212-1,122.95
6216-1,9.24
6217-1,11.56
6218-1,18.48
6221-1,9.93
6222-1,24.63
6223-1,21.62
6227-1,18.48
6228-1,46.17
6229-1,10.1
6230-1,134.87
623-2,18.48
6232,18.46
6234-1,9.24
6235-1,15.38
6236-1,61.58
6239-1,29.85
6240-1,29.51
6241-1,57.15
6242-1,115.26
6243-1,269.36
6244-1,61.58
6245-1,13.85
6246-1,29.85
6247-1,45.73
6248-1,33.11
6251-1,29.18
6253-1,124.26
6256-1,60.59
6257-1,25.1
6258-1,51.45
6260-1,37.05
6261-1,46.19
6262-1,88.92
6263,142.8
6266-1,74.32
6267-1,169.21
6270-1,119.51
6271-1,369.36
6277-1,269.44
6278-1,307.91
6279,361.81
6282-1,12.3
6285-1,423.4
6286-1,849.51
6289-1,307.93
629,23.02
6291-1,691.29
6292-1,255.42
6293-1,15.32
6305-1,15.38
6308-1,13.78
6313092-1,15.12
6314-1,60.05
6316-1,47.49
6317-1,23.02
6324-1,2.54
633,26.16
6332,76.17
6333-1,6.35
6334-1,152.42
6336-1,33.87
6337,115.47
6339-1,123.17
634,23.02
6341-1,15.32
6342-1,21.56
6344-1,20.01
6346-1,38.49
6348-1,34.64
6350-1,53.89
635-1,23.02
6351-1,23.09
6352-1,23.09
6353-1,38.49
6354-1,19.4
6355-1,38.49
6356-1,15.4
6357-1,12.32
6358-1,11.55
6359-1,30.79
6361-1,14.63
6364-1,30.72
6365-1,69.28
6368-1,14.63
6374-1,104.7
6375-1,19.25
6378-1,90.84
6380-1,614.31
6381-1,29.25
6382-1,78.77
6384-1,68.51
6386-1,61.58
6389-1,53.89
6390-1,190.55
6393-1,323.32
6395-1,169.36
6396-1,107.77
6397-1,139.74
6398-1,79.35
6400-1,3.08
6401-1,15.45
640-2,11.55
6403-1,29.98
6404-1,115.47
6407-1,4.62
6409-1,224.08
641-1,21.56
6415,4.27
6416-1,210.01
6418,176.98
6419-1,254.07
6420-1,20.01
642-2,5.39
6422,9.24
6423,4.14
6424,9.62
6425,4.62
6426,30.79
6429-1,13.09
6430-1,23.09
643-2,11.16
6432,28.81
6434,13.86
6436,7.68
6437,5.0
6439,18.46
6442-1,33.87
6445,11.93
6446,7.7
6447,10.01
6450-1,20.01
6452,7.0
6453-1,7.7
6455,50.0
6456-1,112.52
6458,12.32
6459-1,15.4
6461,6.16
646-2,137.03
6462,40.0
6463-1,6.16
6465,7.7
6467,8.89
6470-1,15.38
6471,5.08
6473,51.93
6480-1,29.25
6481-1,38.49
6482-1,46.19
6483,342.99
6484-1,92.22
649-1,30.02
6491,4.6
6493,61.58
6495,13.09
6496,53.89
6498-1,3.87
650-1,38.1
6501-1,4.62
6502-1,6.54
6503-1,3.08
6504-1,6.16
6505-1,3.08
6506-1,3.08
6507-1,3.08
6508-1,3.08
6509-1,7.7
6510-1,4.14
6511-1,6.08
6512-1,5.39
6513-1,5.85
6515-1,10.0
6516-1,6.93
6517,5.39
6518-1,4.6
65182-1,229.4
6519,6.93
6520-1,82.57
6521-1,4.62
652-1,8.47
6522-1,3.08
6523-1,3.08
6524-1,3.08
6525,10.78
6526-1,3.08
6527-1,4.62
6528-1,3.08
6530-1,3.08
653-1,10.87
6531-1,7.62
6532-1,8.47
6534,7.68
6535,6.93
6536-1,6.14
6537,4.3
6539-1,66.2
6540-1,127.03
6541-1,161.66
6543,768.28
6544,106.23
6545-1,19.25
6546-1,15.0
6550-1,6.14
6551-1,43.11
6553-1,25.41
6555-1,13.86
6556,9.99
6557-1,383.37
6558-1,43.19
6559-1,192.45
6560,207.85
656-1,15.32
6561-1,57.68
6563,23.09
6564,10.16
6565-1,10.01
6566,23.09
6567,7.0
6571-1,69.28
6572-1,5.85
6573,30.79
6575-1,85.11
6579-1,7.62
6580-1,75.44
6581-1,14.63
6582-1,38.11
6586,10.78
6590-1,19.25
6592-1,26.94
6593-1,45.03
6600,150.11
6601-1,10.21
6603-1,3.08
6605-1,3.08
6607-1,5.39
6608-1,5.39
6609-1,3.85
661-1,13.78
6611-1,7.62
6612-1,152.42
6613-1,10.01
6614,17.71
6615,16.17
6617-1,58.46
6618,17.29
6621-1,12.32
6622-1,3.08
6623-1,15.4
6624-1,9.24
6628-1,18.46
6630-1,5.39
6631-1,4.62
6632-1,3.08
66330-1,337.18
6634-1,13.67
6639-1,10.01
6641-1,6.93
6642-1,4.62
6644-1,6.16
6645-1,11.55
6646-1,3.08
6647-1,14.63
6648-1,4.62
6648-2,12.7
6649-1,10.39
6650-1,7.7
6652-1,3.08
6654-1,6.16
66543-1,57.17
6656-1,4.62
6657-1,10.01
6658-1,4.62
6659-1,4.62
66596-1,63.39
6661-1,4.62
6662-1,15.32
66635-1,45.0
6664-1,11.55
66643-1,48.45
66648-1,62.19
66650-1,62.19
6665-1,10.01
66651-1,62.19
6666-1,18.46
6667-1,18.4
6668-1,7.7
6669-1,9.24
6670-1,7.7
6671-1,13.86
6672-1,10.76
6673-1,14.63
6674-1,10.78
6676-1,6.16
6678-1,14.63
6679-2,19.06
6680-1,14.63
6681-1,10.01
6682-1,7.7
6684-1,9.24
6685-1,13.09
6686-1,9.24
6687-1,6.16
6688-1,20.01
6689-1,30.79
6690-1,21.6
6691-1,10.78
6693-1,13.86
6694-1,10.78
6697-1,14.63
6698-1,9.24
6699-1,61.58
6701-1,230.94
6703-1,61.58
6705-1,152.42
6709-1,86.55
6713-1,41.05
6714,10.76
6718-1,44.46
6719-1,35.41
6720-1,50.81
6722-1,18.09
6733-1,6.16
6735-1,10.76
6736-1,53.89
6740-1,55.89
6741-1,3.03
6742-1,10.76
6743-1,5.19
6746,254.07
6747-1,23.09
675-1,18.4
6751-1,45.42
6754-1,246.34
6755,76.21
6761-1,169.9
6762-1,384.91
6763-1,230.94
6765-1,130.1
6766,230.94
6769-1,349.34
6770-1,61.58
6771,6.18
6773,15.45
6774-1,21.48
6780-1,154.46
6781-1,115.47
6783-1,146.27
6785-1,61.51
6800,15.32
6801-1,4.62
6803-1,12.32
6804-1,8.47
6805-1,10.78
6806-1,10.78
6808-1,15.4
6809-1,15.4
6810-1,7.7
6811-1,9.24
6812-1,23.09
6813-1,12.36
6814-1,9.24
6815-1,5.39
6817-1,35.44
6818-1,10.0
682-1,23.02
6821-1,9.08
6822-1,10.01
6823-1,12.32
6824-1,23.09
6826-1,19.54
6827-1,7.7
6828-1,28.58
6829,8.89
683-1,460.35
6831-1,9.24
6832-1,15.4
6833-1,23.09
6834-1,12.17
6835-1,10.01
6836-1,9.24
6837,22.87
6841-1,9.24
6846-1,15.4
6847-1,16.94
6849-1,15.4
6850-1,10.7
6851-1,38.49
6852-1,23.09
6854-1,38.49
6856-1,11.87
6857-1,114.33
6858-1,4.45
6860-1,69.87
6861-2,184.76
6863-1,57.49
6864-1,69.24
6865-1,44.46
6866-1,127.03
6867-1,63.52
6868-1,54.1
6869-1,31.76
6870-1,9.08
6871-1,24.63
6873-1,44.26
6875-1,26.17
6876-1,26.17
6877-1,13.86
6878-1,30.79
6879-1,20.01
6880-1,27.71
6881-1,18.48
6882-1,46.19
6884-1,46.19
6886-1,50.79
6887-1,37.72
6889-1,35.41
6890-1,35.41
6891-1,86.6
6892-1,53.59
6894-1,76.98
6895-1,53.89
6896-1,46.03
6897-1,52.35
6898-1,42.78
6899,40.36
6907-1,43.28
6910-1,4.54
6911-1,3.46
6912-1,4.62
6913-1,4.33
6914-1,10.39
6915,72.36
692-1,18.48
6921-1,230.94
6925-1,86.6
6927-1,80.03
6929-1,53.89
6930-1,69.28
6931-1,85.65
6932-1,107.76
6933-1,103.0
6938-1,53.99
6939-1,92.38
6940-1,143.17
6941-1,100.08
6942,9.24
6944-1,9.51
6949,92.38
695-1,17.52
6953-1,153.96
6954-1,166.64
6955-1,461.89
6956-1,190.55
6957-1,115.47
6958,246.34
6959,130.79
6969,56.97
6970-1,153.96
6971-1,230.94
6973-1,152.42
6975,92.38
6977,300.23
6979-1,152.42
6980-1,184.76
6981-1,108.19
6982,115.47
6983-1,254.07
6984-1,292.53
6985-1,401.58
6986-1,461.89
6987-1,461.89
6987-1,461.89
6989-1,357.95
6990-1,937.51
6024405,10.01
7000-1,9.16
6024407,19.25
70002-1,11.55
6024411,18.74
70004-1,11.55
70006-1,76.21
70008-1,35.0
6024458,60.82
70010-1,130.87
7001-1,9.62
70012-2,38.11
70013-1,37.72
7002-1,10.7
7003-1,7.0
7009-1,30.72
70100-1,6.93
70101-1,13.72
70102-1,6.65
70103-1,5.18
70104-1,10.01
70105-1,11.55
6024579,6.35
70107-1,6.16
70109-1,4.63
70110-1,6.16
70111-1,19.44
70112-1,16.37
70113-1,10.39
70114-1,25.39
70123-1,12.98
70125-1,23.09
70126-1,12.1
6061792,15.45
70128-1,12.7
70129-1,25.0
70131-1,26.26
70132-1,53.89
70133-1,69.28
70136-1,12.24
6061714,18.94
70139-1,24.63
70142-1,18.48
70143-1,38.1
70145-1,77.96
70146-1,170.87
70147-1,188.01
70149-1,13.72
70150-1,9.53
7015-1,42.34
70151-1,9.53
70155-1,9.0
70156-1,7.77
70160-1,11.68
7016-1,183.22
70161-1,15.58
70162-1,38.49
70163-1,45.0
70164-1,41.92
70165-1,115.47
70166-1,15.4
70168-1,53.81
70169-1,53.89
6100984,84.68
7017-1,100.08
70172-1,113.83
7018-1,231.68
7019-1,323.25
70200-1,10.16
7020-1,284.55
70201-1,10.1
70202-1,9.51
70203-1,11.37
70204-1,12.64
70205-1,20.0
70209-1,25.5
70210-1,16.85
70221-1,66.13
70224-1,113.06
70225-1,49.27
70226-1,69.28
70227-1,248.77
70228-1,112.52
6099901,50.8
70231-1,50.8
7030-1,9.16
70310-1,12.3
70311-1,4.14
70312-1,17.18
70313-1,23.02
70314-1,23.17
70317-1,120.0
70318-1,5.96
70319-1,16.32
70320-1,23.17
70321-1,75.44
70322-1,107.76
70323-1,127.02
70325-1,7.68
70326-1,76.22
