set_num,rrp,current_value,growth,annual_growth
101-2,6.68,1077.26,160.20600000000002,
10121-1,13.49,133.52,8.9,0.14400000000000002
10123-1,134.99,2592.65,18.207,0.095
10124-1,80.99,639.44,6.896,0.07400000000000001
10127-1,12.14,53.87,3.438,0.094
10128-1,67.49,342.0,4.0680000000000005,0.055999999999999994
10129-1,139.99,2180.33,11.424000000000001,0.131
101-3,3.17,100.7,30.74,0.065
1013-1,,,,
10131-1,94.49,541.74,4.734,0.086
10132-1,161.99,1638.91,9.118,0.156
10133-1,53.99,540.0,9.003,0.081
10134-1,179.99,1183.23,6.305,0.094
10135-1,47.24,63.87,0.35200000000000004,0.019
10143-1,364.49,3308.11,8.076,0.10400000000000001
10144-1,188.99,521.07,1.757,0.07400000000000001
10145-1,6.74,39.22,4.822,0.063
10146-1,6.74,26.43,2.924,0.08900000000000001
10147-1,6.74,19.72,1.9280000000000002,0.07
10148-1,6.74,19.4,1.88,0.068
10149-1,6.74,15.98,1.3730000000000002,0.055999999999999994
10150-1,6.74,31.83,3.725,0.102
10151-1,53.99,404.96,6.501,0.095
10152-1,101.24,381.38,2.767,0.047
10153-1,33.74,135.0,3.002,0.106
10155-1,139.99,312.24,0.9279999999999999,0.040999999999999995
10156-1,20.24,84.89,3.195,0.094
10157-1,33.74,248.68,6.371,0.07400000000000001
10158-1,33.74,224.51,5.655,0.071
10159-1,121.49,1147.34,8.443999999999999,0.113
10160-1,8.09,39.92,3.937,0.105
10161-1,8.09,20.1,1.486,0.059000000000000004
10162-1,8.09,27.03,2.342,0.078
10163-1,8.09,20.03,1.4769999999999999,0.057999999999999996
10165-1,3.36,10.8,2.213,0.049
10166-1,3.36,22.21,5.606,0.096
10167-1,,115.1,,0.215
10168-1,5.39,15.86,1.945,0.059000000000000004
10169-1,5.39,13.5,1.506,0.049
10170-1,53.99,337.95,5.26,0.083
10173-1,121.49,715.99,4.894,0.068
10174-1,107.99,707.71,5.553999999999999,0.079
10175-1,134.99,1415.91,9.488999999999999,0.102
10176-1,134.99,494.22,2.661,0.07400000000000001
10177-1,119.99,1322.89,11.251,0.131
10178-1,159.99,781.64,3.4539999999999997,0.076
10179-1,674.99,4048.92,4.999,0.221
10181-1,269.99,3206.25,10.876,0.11599999999999999
10182-1,188.99,3143.46,15.633,0.128
10183-1,134.99,658.65,3.8789999999999996,0.08
10184-1,202.49,541.4,1.6740000000000002,0.06
10185-1,219.99,1662.38,7.21,0.11900000000000001
10186-1,121.49,336.14,1.767,0.065
10187-1,161.99,874.07,4.396,0.07
10188-1,499.99,680.47,0.26,0.047
10189-1,399.99,1571.47,2.88,0.18
10190-1,121.49,3035.23,23.984,0.134
