set_num,rrp,current_value,growth,annual_growth
1962-1,,,,
1963-1,,382.16,,
1964-1,2.01,6.53,2.248,0.034
1965-1,2.03,252.29,123.587,0.079
1966-1,,2006.38,,0.259
1967-1,20.24,202.49,9.006,0.064
1967-2,20.24,688.73,33.034,0.157
1968-1,24.29,735.9,29.301,0.102
1969-1,5.39,54.93,9.198,0.09
1969-2,6.03,1118.76,184.394,0.161
1970-1,5.39,43.5,7.075,0.08
197-1,,162.0,,
19710-1,40.49,902.35,21.288,0.157
1971-1,,202.08,,0.053
19720-1,40.49,1021.82,24.238000000000003,0.19399999999999998
1972-1,,93.76,,0.17800000000000002
1973-1,,151.31,,0.17
1974-1,26.99,302.29,10.202,0.081
1974-2,7.41,33.74,3.552,0.05
1974-3,20.91,63.95,2.0580000000000003,0.037000000000000005
1974-4,3.36,34.41,9.237,0.078
1975-1,,87.75,,
1976-1,13.49,746.73,54.368,0.11800000000000001
1977-1,10.76,289.33,25.891,0.114
1977-2,,,,
1978-1,,11.77,,
1978-2,7.43,552.91,73.465,0.124
1979-1,,16.2,,
1979-2,20.24,825.09,39.773,0.109
1980-1,,14.96,,
198-1,3.36,80.01,22.803,0.077
1983-1,13.46,1665.6,122.749,0.14300000000000002
1990-1,2.69,23.63,7.794,0.084
199-1,4.71,267.64,55.805,0.052000000000000005
1991-1,9.44,67.5,6.153,0.077
1992-1,10.46,56.59,4.409,0.083
1993-1,20.24,236.18,10.671,0.063
1994-1,,,,
1997-1,13.49,264.25,18.594,0.068
1998-1,,1427.98,,0.154
1999-1,17.51,1535.69,86.706,0.141
20001-1,,20.12,,0.023
20002-1,,47.12,,0.13
2000210-1,,10.35,,0.33399999999999996
2000211-1,,2.01,,0.08199999999999999
20003-1,,97.66,,0.12
2000409-1,484.99,706.7,0.006999999999999999,
20004-1,,134.93,,0.091
2000413-1,754.99,1019.24,,
2000414-1,36.99,66.03,0.322,0.019
2000415-1,789.99,1066.49,,
2000416-1,,3.94,,0.141
2000418-1,13.49,27.55,1.043,0.07400000000000001
2000421-1,,174.16,,0.204
2000422-1,,191.58,,0.354
2000423-1,,208.99,,0.354
2000424-1,13.49,18.1,0.342,0.05
2000425-1,13.49,65.06,3.824,0.165
2000430-1,789.99,1105.25,0.036000000000000004,
2000431-1,754.99,1028.07,0.009000000000000001,
2000446-1,47.25,85.5,0.809,0.121
2000447-1,,10.41,,0.354
2000448-1,,14.4,,0.03
2000451-1,337.49,582.21,0.725,0.066
2000455-1,,6.14,,0.275
2000456-1,,45.29,,0.36200000000000004
20005-1,,22.95,,0.04
20006-1,,97.31,,0.249
2000704-1,16.13,18.27,0.132,0.051
20007-1,,81.5,,0.019
2000719-1,4.99,,,
2000720-1,,,,
20008-1,,13.99,,0.10300000000000001
20009-1,6.74,40.5,5.012,0.10400000000000001
200-1,6.74,101.55,14.074000000000002,0.03
20010-1,6.74,49.79,6.391,0.094
20011-1,,26.87,,0.052000000000000005
20012-1,,33.18,,0.159
20013-1,5.39,18.89,2.506,0.071
20014-1,,16.86,,0.03
20015-1,,74.22,,0.22
20016-1,4.71,25.38,4.387,0.08800000000000001
20017-1,,17.01,,0.049
20018-1,,46.01,,0.035
20019-1,,23.21,,0.021
20020-1,,19.94,,0.07400000000000001
20021-1,,23.61,,0.185
200-3,5.06,3839.58,757.435,0.111
200-4,8.78,,,
200-5,,1226.38,,
2008-1,,566.77,,0.095
2009-2,,229.49,,
200A-1,6.08,,,
200M-1,5.06,3134.48,618.1569999999999,0.10800000000000001
20-1,,321.71,,
2010-1,40.49,,,
2011-2,,303.74,,0.062
2014-1,,,,
2015-1,,72.1,,
20200-1,40.49,71.06,0.755,0.099
2020-1,7.43,21.71,1.9240000000000002,0.033
20201-1,,53.96,,0.034
20202-1,,52.61,,0.045
20203-1,,51.1,,0.04
20204-1,,47.22,,0.035
20205-1,,34.43,,0.255
20206-1,24.99,51.65,0.914,0.049
20207-1,,84.38,,0.032
20208-1,,51.17,,0.044000000000000004
20214-1,107.99,132.26,0.225,0.035
20215-1,107.99,277.1,1.5659999999999998,0.07400000000000001
20216-1,67.49,110.9,0.643,0.04
20217-1,107.99,162.9,0.509,0.044000000000000004
2023-1,,37.87,,
2024-1,,68.23,,
2025-1,159.99,310.43,0.643,0.085
2027-1,,,,
2032-1,24.99,51.25,0.899,0.113
2033-1,16.47,66.39,3.031,0.040999999999999995
2037-1,,33.76,,
2038-1,,64.64,,
2040-1,13.84,68.55,3.9539999999999997,0.053
2045-1,24.99,32.09,0.18899999999999997,0.057999999999999996
2047-1,24.99,44.54,0.65,0.126
2050-1,,,,
2051-1,,,,
2052-1,,,,
2053-1,,87.43,,
2054-1,,54.23,,
2055-1,20.93,70.63,2.375,0.027000000000000003
2056-1,,,,
2057-1,,,,
2059-1,,,,
2063-1,10.99,148.49,12.765999999999998,0.207
2064-1,,77.6,,0.039
2065-1,10.99,123.15,10.417,0.171
2066-1,16.54,,,
2067-1,10.99,81.38,6.544,0.165
2068-1,10.99,79.31,6.353,0.14800000000000002
2069-1,,6.37,,0.042
2070-1,24.98,74.41,1.979,0.034
2072-1,48.94,,,
2073-1,33.08,,,
2074-1,,,,
2075-1,64.99,79.69,0.18100000000000002,0.18899999999999997
208-1,4.71,281.61,58.771,0.057
2-1,10.13,828.62,80.839,0.14300000000000002
2-10,94.49,201.5,1.133,0.040999999999999995
21000-1,26.99,185.81,5.885,0.161
21000-2,24.99,168.26,5.235,0.166
21001-1,29.99,353.81,12.110999999999999,0.154
21002-1,24.99,107.99,3.002,0.185
21003-1,24.99,130.83,3.8480000000000003,0.213
21004-1,49.99,162.5,2.01,0.07200000000000001
21005-1,129.99,559.32,3.1439999999999997,0.179
21006-1,59.99,165.52,1.453,0.245
21007-1,49.99,192.81,2.571,0.124
21008-1,29.99,148.64,3.406,0.163
21009-1,69.99,412.83,4.098,0.177
210-1,3.36,128.9,37.345,0.109
21010-1,249.99,836.72,2.099,0.106
21011-1,44.99,114.79,1.43,0.151
21012-1,49.99,185.27,2.432,0.14300000000000002
21013-1,39.99,119.0,1.939,0.20800000000000002
21014-1,89.99,244.3,1.5859999999999999,0.172
21015-1,44.99,168.95,2.577,0.188
21016-1,44.99,512.99,9.86,0.18
21017-1,159.99,261.47,0.49,0.067
21018-1,59.99,165.46,1.452,0.157
21019-1,44.99,94.11,0.992,0.217
210-2,3.38,1091.08,322.284,0.114
21020-1,59.99,243.16,2.603,0.233
21021-1,101.24,1521.91,14.033,0.24100000000000002
21022-1,39.99,158.33,2.911,0.25
21023-1,49.99,115.11,1.1320000000000001,0.156
21024-1,74.99,171.09,1.113,0.215
21026-1,39.99,229.45,4.667,0.324
21027-1,39.99,283.43,6.001,0.33399999999999996
21028-1,74.99,,,
21029-1,69.99,122.84,0.82,0.354
21030-1,129.99,166.68,0.235,0.217
21031-1,49.99,123.39,1.286,0.203
21032-1,39.99,143.02,2.533,0.33299999999999996
21033-1,49.99,157.46,1.9169999999999998,0.324
21034-1,49.99,,,
21035-1,99.99,149.08,0.381,0.11599999999999999
21036-1,49.99,102.65,0.9009999999999999,0.23399999999999999
21037-1,59.99,163.04,1.013,0.11599999999999999
21038-1,49.99,1215.0,21.506,0.37200000000000005
21039-1,79.99,,,
21041-1,64.99,100.58,0.49,0.3
21042-1,139.99,,,
21043-1,69.99,,,
21044-1,69.99,,,
21045-1,99.99,,,
21046-1,159.99,,,
21047-1,49.99,74.99,0.389,0.152
21050-1,199.99,554.69,1.568,0.364
21051-1,79.99,,,
21052-1,79.99,,,
21054-1,149.99,,,
21055-1,69.99,,,
2-11,229.99,1254.83,4.164,0.115
21-1,229.99,1254.83,4.164,0.115
21100-1,59.99,1072.82,14.897,0.151
21101-1,59.99,465.74,5.901,0.175
21102-1,44.99,66.43,0.406,0.031
21103-1,44.99,256.7,4.434,0.212
21104-1,34.99,516.69,11.762,0.248
21105-1,44.99,82.65,0.75,0.069
21106-1,44.99,67.47,0.428,0.062
21107-1,44.99,57.78,0.223,0.039
21108-1,59.99,161.99,1.4,0.17800000000000002
21109-1,44.99,47.25,0.0,0.01
211-1,4.04,69.59,16.241,0.036000000000000004
21110-1,24.99,58.19,1.156,0.136
2111-1,12.99,163.63,11.133,0.18600000000000003
21113-1,24.99,60.74,1.251,0.295
21114-1,39.99,81.0,1.001,0.171
21115-1,49.99,128.91,1.3880000000000001,0.16899999999999998
21116-1,59.99,130.65,0.9359999999999999,0.132
21117-1,89.99,226.8,1.4,0.136
21118-1,129.99,312.11,1.102,0.111
21119-1,24.99,61.65,1.285,0.182
211-2,3.38,1039.69,307.056,0.09699999999999999
21120-1,44.99,88.28,0.635,0.107
2112-1,12.99,17.54,0.3,0.047
21121-1,74.99,134.99,0.667,0.135
21122-1,99.99,156.05,0.445,0.091
21123-1,24.99,53.99,1.001,0.384
21124-1,74.99,190.13,1.348,0.19699999999999998
21125-1,89.99,270.45,1.8619999999999999,0.23
21126-1,49.99,182.25,2.376,0.28800000000000003
21127-1,139.99,382.01,1.5730000000000002,0.215
21128-1,229.99,689.46,1.554,0.213
21129-1,24.99,50.18,0.8590000000000001,0.21100000000000002
21130-1,39.99,80.99,1.0,0.257
2113-1,13.49,105.27,6.806,0.125
21131-1,49.99,168.1,2.114,0.285
21132-1,64.99,232.92,2.451,0.29
21133-1,74.99,245.74,2.0340000000000003,0.272
21134-1,89.99,188.99,1.0,0.23
21135-1,74.99,148.5,0.8340000000000001,0.25
21136-1,139.99,246.09,0.519,0.163
21137-1,299.99,1227.57,2.637,0.324
21138-1,15.99,67.49,2.335,0.33399999999999996
21139-1,15.99,60.75,2.002,0.33399999999999996
21140-1,24.99,27.0,0.001,
2114-1,12.99,20.18,0.496,0.046
21141-1,24.99,26.99,,
21142-1,34.99,80.93,0.9990000000000001,0.302
21143-1,49.99,53.99,,
21144-1,59.99,241.92,2.585,0.33399999999999996
21145-1,24.99,26.99,,
21146-1,49.99,161.95,2.0,0.33399999999999996
21147-1,99.99,189.03,0.556,0.23399999999999999
21148-1,19.99,29.97,0.48100000000000004,0.212
21149-1,19.99,28.11,0.389,0.16399999999999998
21150-1,19.99,28.66,0.41600000000000004,0.175
2115-1,12.99,18.62,0.38,0.040999999999999995
21151-1,24.99,,,
21152-1,49.99,,,
21153-1,24.99,,,
21154-1,39.99,,,
21155-1,99.99,,,
21156-1,19.99,24.02,0.187,
21157-1,19.99,22.73,0.12300000000000001,
21158-1,24.99,,,
21159-1,39.99,,,
21160-1,79.99,,,
2116-1,12.99,30.4,1.254,0.09
21161-1,99.99,,,
21162-1,13.99,,,
21163-1,49.99,,,
21164-1,13.99,,,
21165-1,24.99,,,
21166-1,24.99,,,
21167-1,24.99,,,
21170-1,69.99,,,
211701-1,,6.62,,0.022000000000000002
211702-1,,8.11,,0.055999999999999994
211803-1,,5.79,,0.07200000000000001
211804-1,,6.56,,0.032
211901-1,,6.62,,0.08199999999999999
211902-1,,7.03,,0.043
211903-1,,5.24,,0.07200000000000001
211904-1,,6.49,,0.102
211905-1,,6.03,,0.092
211906-1,,7.03,,0.043
21-2,,85.58,,
21200-1,34.99,61.88,0.529,0.052000000000000005
212007-1,,6.67,,0.052000000000000005
212008-1,,5.75,,0.052000000000000005
212009-1,,5.82,,0.092
212010-1,,5.18,,0.102
21201-1,34.99,41.03,0.013000000000000001,0.022000000000000002
212011-1,,5.33,,0.012
212012-1,,10.45,,
21204-1,26.99,62.07,1.3,0.073
21205-1,26.99,33.67,0.248,0.036000000000000004
21206-1,47.24,127.66,1.702,0.098
21208-1,26.99,54.46,1.018,0.136
212-1,3.04,837.15,274.60400000000004,0.095
2121-1,,2.43,,0.026000000000000002
212-2,4.71,75.65,15.057,0.065
2122-1,,64.92,,0.126
2123-1,,74.51,,0.161
2124-1,10.79,,,
2125-1,17.54,79.22,3.517,0.068
2126-1,93.83,360.9,2.846,0.06
2127-1,,4.67,,0.047
2129-1,9.44,33.68,2.569,0.054000000000000006
2130-1,,8.49,,0.07200000000000001
21301-1,59.99,146.87,1.4180000000000001,0.125
21302-1,69.99,202.5,1.5,0.256
21303-1,69.99,269.99,2.334,0.23199999999999998
21304-1,69.99,144.1,0.779,0.151
21305-1,89.99,203.8,1.157,0.14
21306-1,69.99,187.81,1.319,0.324
21307-1,99.99,128.24,0.188,0.040999999999999995
21308-1,64.99,64.31,,
21309-1,149.99,195.7,0.20800000000000002,0.198
213-1,5.36,125.64,22.443,0.039
21310-1,179.99,504.82,1.493,0.324
2131-1,,6.95,,0.10300000000000001
21311-1,229.99,350.95,0.444,0.27399999999999997
21312-1,29.99,47.21,0.39899999999999997,0.244
21313-1,89.99,122.3,0.294,0.29600000000000004
21314-1,44.99,67.49,0.429,0.257
21315-1,89.99,,,
21316-1,79.99,,,
21317-1,119.99,136.38,0.12300000000000001,0.16699999999999998
21318-1,269.99,,,
21319-1,89.99,,,
213-2,3.04,1687.38,554.516,0.107
21320-1,79.99,,,
2132-1,,6.75,,0.02
21321-1,99.99,,,
21322-1,259.99,,,
21323-1,449.99,,,
21324-1,149.99,,,
2133-1,,6.21,,0.07
2134-1,,8.64,,0.091
2135-1,,12.37,,0.13699999999999998
2136-1,,18.37,,0.258
2137-1,,7.9,,0.059000000000000004
2138-1,,10.11,,0.096
2139-1,,8.44,,0.107
2140-1,,296.35,,0.032
214-1,5.36,200.21,36.355,0.08800000000000001
2141-1,10.99,141.82,12.148,0.19899999999999998
214-2,0.68,,,
2142-1,10.99,102.14,8.469,0.172
214-3,0.68,,,
2143-1,10.99,58.51,4.4239999999999995,0.146
2144-1,10.99,53.99,4.005,0.139
2145-1,10.99,107.74,8.988999999999999,0.204
2146-1,,327.85,,
2147-1,37.79,49.45,0.309,0.048
2148-1,14.84,103.59,5.982,0.099
2149-1,,225.87,,0.031
2150-1,98.55,747.97,6.59,0.158
215-1,4.71,270.0,56.306999999999995,0.078
2151-1,16.19,108.93,5.73,0.064
215-2,0.68,,,
2152-1,26.99,147.78,4.476,0.064
215-3,0.68,300.72,444.51,
2153-1,40.49,164.96,3.074,0.033
2154-1,48.59,364.55,6.502999999999999,0.045
2155-1,,37.58,,0.102
2156-1,,13.28,,0.17
2157-1,,31.86,,0.265
2158-1,,12.14,,0.11599999999999999
2159-1,40.49,92.84,1.2930000000000001,0.14400000000000002
2160-1,20.24,64.48,2.186,0.052000000000000005
216-1,0.68,,,
2161-1,33.74,184.48,4.468,0.077
2162-1,53.99,202.49,2.7510000000000003,0.059000000000000004
2163-1,,3.42,,0.057999999999999996
2164-1,,3.71,,0.10300000000000001
2165-1,,4.63,,0.092
2166-1,,7.63,,0.141
2167-1,,12.08,,0.08199999999999999
2170-1,12.99,17.44,0.293,0.021
217-1,,237.95,,
2171-1,12.99,32.85,1.435,0.078
217-2,0.68,,,
2172-1,12.99,34.16,1.5330000000000001,0.091
2173-1,12.99,70.17,4.203,0.086
2174-1,12.99,17.55,0.301,0.034
2175-1,12.99,15.96,0.183,0.019
218-1,,517.39,,
2181-1,,75.64,,0.094
218-2,0.68,,,
2182-1,10.99,77.25,6.1610000000000005,0.18
2183-1,10.99,70.39,5.526,0.159
2186-1,,55.81,,
2187-1,,12.84,,
2188-1,4.71,28.11,4.966,0.081
2189-1,,10.33,,
219-1,0.68,,,
2191-1,10.99,80.95,6.504,0.129
2192-1,17.99,101.24,4.773,0.113
2193-1,17.99,123.65,6.051,0.19
2194-1,17.99,140.79,7.028,0.188
2198-1,9.99,25.34,1.685,0.064
2199-1,17.54,79.22,3.517,0.068
220-1,0.68,33.72,48.96,0.053
22-1,,355.66,,
221-1,,7.32,,0.032
221-2,0.68,14.97,21.18,0.04
2220-1,,140.99,,
222-1,79.99,609.9,5.455,0.158
2221-1,,147.31,,
222-2,,,,
2222-1,24.29,67.5,1.7790000000000001,0.048
2223-1,32.39,,,
2224-1,,,,
2225-1,33.74,38.62,0.145,
2226-1,8.09,34.94,3.321,0.069
2229-1,20.24,29.82,0.474,0.019
2230-1,26.99,52.6,0.9490000000000001,0.046
223-1,6.74,320.85,46.629,0.077
2231-1,17.99,133.65,6.621,0.179
223-2,,,,
2232-1,17.99,90.45,4.158,0.111
2233-1,17.99,74.7,3.259,0.099
2234-1,,199.72,,0.055
2235-1,24.99,69.0,1.557,0.059000000000000004
2236-1,29.99,124.09,2.678,0.142
224-1,0.68,,,
2241-1,,,,
2242-1,,37.31,,
224-3,0.68,,,
2245-1,13.49,,,
2247-1,,46.41,,
2250-1,26.99,56.67,1.1,0.08
225-1,0.68,,,
2251-1,,,,
2252-1,,,,
2254-1,24.99,80.45,1.9809999999999999,0.086
2255-1,12.99,26.95,0.998,0.051
2256-1,12.99,25.41,0.884,0.068
2257-1,24.99,29.82,0.105,0.013000000000000001
2258-1,9.99,29.66,2.1430000000000002,0.087
2259-1,19.99,72.18,2.5669999999999997,0.08900000000000001
2260-1,24.99,180.2,5.6770000000000005,0.15
226-1,0.68,,,
2261-1,5.39,26.31,3.885,0.071
2262-1,,,,
2263-1,39.99,107.23,1.649,0.078
2264-1,13.49,,,
2265-1,,,,
2266-1,26.99,,,
2268-1,8.09,,,
2269-1,,,,
2270-1,,,,
227-1,0.68,,,
2271-1,,,,
2272-1,20.24,103.25,4.102,0.08800000000000001
2277-1,,37.69,,
2278-1,3.09,,,
2279-1,,,,
2280-1,20.24,,,
228-1,0.68,,,
2281-1,40.49,144.1,2.559,0.062
2282-1,29.99,174.68,4.178,0.139
2283-1,39.99,259.31,5.405,0.156
2284-1,8.09,42.75,4.287,0.083
229-1,,,,
2294-1,4.04,7.52,0.863,0.03
2297-1,9.44,,,
2299-1,4.04,,,
2300-1,9.44,,,
230-1,6.06,292.77,47.301,0.09699999999999999
2301-1,6.74,27.0,3.008,0.04
230-2,0.68,,,
2302-1,13.49,,,
2303-1,7.41,24.0,2.239,0.111
2304-1,19.99,23.14,0.14300000000000002,0.022000000000000002
2305-1,13.49,,,
2306-1,16.19,31.63,0.9540000000000001,0.023
2307-1,13.49,20.44,0.516,0.012
2309-1,17.54,46.32,1.641,0.027000000000000003
23-1,,440.24,,
2310-1,17.54,71.0,3.048,0.043
231-1,12.14,1242.39,101.368,0.11699999999999999
2311-1,,,,
231-2,0.68,363.26,537.16,0.091
2312-1,21.59,65.62,2.04,0.034
2313-1,,,,
2314-1,19.58,,,
2315-1,,,,
2317-1,,,,
2318-1,,22.38,,
232-1,16.19,654.75,39.45,0.092
2321-1,10.79,46.97,3.3539999999999996,0.063
232-2,0.68,,,
2326-1,,,,
2327-1,17.54,60.45,2.447,0.049
2330-1,,,,
233-1,0.68,,,
2331-1,6.74,47.36,6.03,0.07
2332-1,26.99,,,
2333-1,,29.25,,
2335-1,,16.2,,
2337-1,,,,
2338-1,,,,
2339-1,13.49,,,
234-1,0.68,,,
2341-1,,34.83,,
2344-1,,70.77,,
2345-1,,64.42,,
2346-1,,104.87,,
2347-1,,,,
2349-1,,,,
2350-1,20.24,,,
235-1,,,,
235-2,,40.04,,
2355-1,,103.18,,
2356-1,,,,
236-1,4.39,,,
2361-1,13.49,31.06,1.3030000000000002,0.028999999999999998
236-2,6.08,2430.0,399.0,
2362-1,,,,
236-3,6.41,1215.0,188.47400000000002,
2364-1,,,,
2365-1,,500.57,,
2366-1,,80.26,,
2368-1,,,,
237-1,0.68,,,
2371-1,,72.18,,
2372-1,,,,
2376-1,,93.88,,
2377-1,,109.09,,
2380-1,,,,
238-1,,,,
2381-1,,,,
2382-1,,,,
2386-1,,,,
2387-1,,,,
2388-1,,,,
2390-1,,,,
239-1,2.69,6.14,1.286,0.040999999999999995
2391-1,,,,
2392-1,,122.45,,
2393-1,,,,
2394-1,,,,
2396-1,,,,
2399-1,,,,
2400-1,20.24,,,
240-1,6.08,,,
2401-1,,70.86,,
2402-1,,,,
2403-1,,13.26,,
24-1,,352.46,,
241-1,179.99,404.08,0.996,0.151
2411-1,,103.53,,
241501-1,5.39,7.4,0.373,0.08900000000000001
241502-1,5.39,9.79,0.8170000000000001,0.07
241601-1,,5.76,,0.035
241602-1,,6.51,,0.066
241701-1,,7.32,,0.055
241702-1,,6.33,,0.055
242001-1,,6.72,,0.032
242002-1,,6.64,,0.042
242003-1,,7.49,,0.042
242-1,0.68,,,
242-2,,,,
2424-1,,,,
2426-1,,106.46,,
242A-1,0.68,,,
242B-1,0.68,,,
2430-1,,11.48,,0.23399999999999999
2431-1,6.74,8.3,0.23199999999999998,0.10300000000000001
2433-1,17.54,73.45,3.1889999999999996,0.067
2434-1,,240.88,,
2435-1,40.49,,,
2436-1,47.24,107.51,1.276,0.038
2442-1,,23.45,,
2443-1,,57.24,,
2444-1,,,,
2445-1,,120.88,,
2446-1,,,,
2447-1,,14.7,,
2450-1,,30.02,,
245-1,2.36,135.36,56.297,0.068
2451-1,,,,
245-2,,194.4,,
2452-1,,,,
2454-1,,,,
2455-1,,,,
2458-1,,137.21,,
2459-1,,75.55,,
246-2,2.03,180.97,88.367,0.11
2467-1,17.54,,,
2477-1,8.09,,,
248-2,11.97,313.8,25.206,
2490-1,33.71,138.63,3.113,0.066
2494-1,21.59,40.68,0.884,0.028999999999999998
250-1,67.49,172.0,1.5490000000000002,0.063
250-3,3.36,103.36,29.747,0.042
2504-1,64.99,132.22,0.9590000000000001,0.057
2505-1,89.99,320.48,2.392,0.08800000000000001
2506-1,79.99,135.0,0.667,0.063
2507-1,154.99,353.16,1.18,0.083
2508-1,24.99,80.81,1.994,0.08
2509-1,44.99,220.93,3.677,0.126
251-1,2.69,105.71,38.347,0.061
2516-1,6.99,22.44,2.331,0.077
2518-1,29.99,74.3,1.202,0.078
2519-1,39.99,64.79,0.6,0.034
2520-1,64.99,87.75,0.3,0.035
252-1,4.02,377.43,92.819,0.096
2521-1,99.99,469.02,3.343,0.11
2531-1,,60.64,,0.042
253-2,2.01,311.96,154.08700000000002,0.09699999999999999
2532-1,26.66,154.13,4.781000000000001,0.094
2535-1,2.69,19.58,6.2860000000000005,0.066
2536-1,2.69,12.7,3.7289999999999996,0.067
2537-1,2.69,9.84,2.6630000000000003,0.035
2538-1,2.69,20.12,6.487,0.066
2539-1,2.69,17.47,5.502999999999999,0.076
2540-1,2.69,23.57,7.774,0.09300000000000001
254-1,2.69,151.05,55.226000000000006,0.053
2541-1,2.69,18.77,5.985,0.094
2542-1,2.69,18.72,5.97,0.081
2543-1,2.69,25.37,8.442,0.059000000000000004
2544-1,2.03,6.75,2.333,0.031
2550-1,,61.36,,
2551-1,23.96,,,
255-2,3.09,136.69,43.214,0.08800000000000001
2552-1,,,,
2553-1,,80.43,,
2554-1,16.88,53.97,2.198,0.059000000000000004
2555-1,12.14,67.08,4.527,0.053
2556-1,,140.85,,0.028999999999999998
256-1,5.36,121.24,21.622,0.07400000000000001
2580-1,,,,
258-1,,1089.65,,
2581-1,,,,
2584-1,,25.7,,0.129
2585-1,,40.95,,0.064
2586-1,,34.33,,0.10300000000000001
2588-1,14.84,,,
2592-1,26.99,89.44,2.314,0.062
2593-1,13.49,135.08,9.016,0.122
2594-1,20.24,171.18,7.459,0.113
2598-1,20.24,122.62,5.059,0.16399999999999998
2599-1,17.54,,,
2600-1,33.74,,,
260-1,219.99,,,
2601-1,9.44,25.62,1.715,0.044000000000000004
2602-1,24.29,134.99,4.558,0.077
260-3,4.71,557.85,117.40100000000001,0.102
2603-1,26.99,155.99,4.78,0.079
2604-1,94.49,278.19,1.944,0.048
2605-1,53.99,,,
2606-1,11.81,51.99,3.4010000000000002,0.067
2607-1,,47.8,,
2608-1,,69.69,,
2609-1,7.41,12.62,0.703,0.018000000000000002
2610-1,,36.06,,
261-1,6.74,129.03,18.154,0.075
2611-1,13.49,,,
2612-1,,25.7,,
2613-1,8.78,29.92,2.4090000000000003,0.042
261-4,4.71,314.23,65.693,0.09
2614-1,6.41,44.32,5.912000000000001,0.062
2615-1,,60.53,,
2616-1,,28.85,,
2617-1,4.46,82.93,17.615,0.099
2618-1,,39.39,,
2619-1,13.49,31.52,1.337,0.024
2620-1,,91.04,,
2621-1,12.14,47.21,2.89,0.054000000000000006
2621-2,2.3,53.92,22.494,0.084
262-2,8.09,317.21,38.227,0.08
2622-1,,,,
2623-1,,66.08,,
2624-1,,,,
2625-1,,53.8,,
2626-1,,46.33,,
2627-1,,74.86,,
2628-1,,40.5,,
2629-1,13.49,33.57,1.489,0.026000000000000002
2630-1,17.89,123.9,5.9270000000000005,0.05
2630-2,,41.2,,
263-1,6.74,297.5,43.162,0.086
2631-1,,53.5,,
2632-1,,,,
2634-1,,96.08,,
2635-1,,,,
2636-1,,,,
2637-1,20.93,,,
26374-1,20.24,20.25,0.001,
26377-1,20.24,,,
26379-1,20.24,,,
2638-1,,,,
2639-1,,37.26,,
2640-1,,,,
264-1,6.74,185.53,26.541,0.075
2641-1,,,,
2641-2,,73.58,,
2642-1,,155.05,,
2643-1,40.16,82.34,1.05,0.023
2643-2,,,,
2644-1,,187.16,,
2645-1,,,,
2646-1,,78.18,,
2647-1,16.19,,,
2648-1,,,,
2649-1,,147.27,,
2650-1,19.91,,,
2650-2,,,,
265-1,5.39,125.9,22.373,0.071
2651-1,27.34,128.21,3.69,0.051
2652-1,47.59,133.07,1.796,0.033
2654-1,10.79,54.78,4.079,0.057999999999999996
2655-1,,,,
2656-1,,152.31,,
2657-1,56.7,150.92,1.662,0.032
2658-1,81.68,,,
2659-1,10.79,24.54,1.275,0.033
2660-1,7.09,65.58,8.253,0.08
266-1,8.09,158.42,18.590999999999998,0.067
2661-1,,24.53,,
2662-1,14.85,44.62,2.005,0.037000000000000005
2663-1,20.24,70.44,2.481,0.051
2664-1,,94.65,,
2665-1,,114.56,,
2666-1,47.59,158.85,2.338,0.040999999999999995
2667-1,,,,
2668-1,83.7,320.45,2.8289999999999997,0.046
2669-1,99.9,376.26,2.766,0.045
2670-1,,513.55,,
2671-1,17.89,43.7,1.443,0.031
2672-1,,181.05,,
2673-1,9.44,29.35,2.11,0.027000000000000003
2674-1,13.49,79.22,4.874,0.077
2675-1,,29.97,,
2676-1,,24.08,,
2677-1,,48.49,,
2678-1,,154.41,,
2679-1,,89.09,,
2680-1,,91.48,,
268-1,8.09,134.5,15.633,0.071
2681-1,,79.88,,
2682-1,17.54,41.51,1.367,0.034
2683-1,,87.71,,
2684-1,,30.98,,
2685-1,,233.85,,
2687-1,70.19,277.48,2.9530000000000003,0.062
2688-1,62.1,98.5,0.586,0.018000000000000002
2689-1,,168.25,,
2690-1,10.79,33.71,2.125,0.04
269-1,8.09,337.61,40.75,0.095
2691-1,25.31,52.26,1.065,0.028999999999999998
2692-1,,117.1,,
2693-1,66.83,,,
2694-1,,80.82,,
2695-1,6.74,26.62,2.952,0.059000000000000004
2696-1,17.54,26.37,0.503,0.017
2697-1,21.59,72.29,2.349,0.052000000000000005
2699-1,89.1,179.56,1.015,0.03
2700-1,,161.65,,
2701-1,59.4,304.1,4.12,0.052000000000000005
270-2,4.04,119.41,28.581999999999997,0.054000000000000006
2704-1,,,,
2705-1,,,,
2706-1,,56.79,,
2707-1,,3.79,,0.11599999999999999
2708-1,,4.16,,0.214
2709-1,,2.67,,0.035
2710-1,,3.73,,0.09699999999999999
271-1,4.04,194.0,47.06,0.086
2711-1,5.39,14.51,1.694,0.059000000000000004
271-2,1.28,,,
2712-1,5.39,20.98,2.895,0.037000000000000005
2713-1,16.19,41.28,1.55,0.026000000000000002
2714-1,10.11,17.79,0.76,0.017
271601-1,,5.9,,0.012
271602-1,,4.87,,0.08
271603-1,,3.81,,0.064
271604-1,,4.47,,0.061
271605-1,,6.41,,0.044000000000000004
271606-1,,3.27,,0.09
271607-1,,4.67,,0.092
271608-1,,4.64,,0.114
271609-1,,4.29,,0.025
271610-1,,5.7,,0.027000000000000003
271611-1,,4.64,,0.028999999999999998
2717-1,12.14,73.83,5.083,0.051
