set_num,rrp,dollars_per_part,annual_growth,good_investment,years_since_release,num_parts,theme_name,is_parent_theme,num_minifigs,dominant_color,prop_trans_parts,num_unique_parts,num_part_cat,num_cat_part_count,review_score,availability
10742-1,24.99,0.26305263157894737,0.071,0,4,95,Cars,0,0.0,Black,0.030303030303030304,59,20,618,77.0,Retired
10743-1,29.99,0.24185483870967742,0.224,1,4,124,Cars,0,0.0,Black,0.012195121951219513,70,22,681,77.0,Retired
10744-1,44.99,0.2355497382198953,0.286,1,4,191,Cars,0,0.0,Black,0.02040816326530612,74,18,648,87.0,Retired
10745-1,64.99,0.24432330827067666,0.153,1,4,266,Cars,0,0.0,Red,0.035211267605633804,113,21,600,81.0,Retired
10746-1,24.99,0.23575471698113207,0.179,1,4,106,Friends,0,1.0,White,0.02666666666666667,60,17,839,89.0,Retired
10747-1,39.99,0.27770833333333333,0.069,0,4,144,Friends,0,1.0,White,0.07,83,23,712,95.0,Retired
10748-1,12.99,0.19388059701492538,0.166,1,3,67,Friends,0,1.0,White,0.018518518518518517,43,16,797,94.0,Retired
10749-1,24.99,0.21730434782608693,0.051,0,3,115,Friends,0,1.0,White,0.11267605633802817,54,18,734,89.0,Retired
10750-1,12.99,0.17794520547945206,0.249,1,3,73,Juniors,1,1.0,Black,0.0625,45,17,517,81.0,Retired
10751-1,24.99,0.21730434782608693,0.049,0,3,115,Juniors,1,1.0,Light Bluish Gray,0.0945945945945946,69,23,627,85.0,Retired
10753-1,29.99,0.1986092715231788,0.254,1,3,151,DC Comics Super Heroes,0,1.0,Black,0.08536585365853659,71,20,652,72.0,Retired
10754-1,24.99,0.19992,0.176,1,3,125,Marvel Super Heroes,0,1.0,White,0.0273972602739726,63,24,489,75.0,Retired
10755-1,24.99,0.1893181818181818,0.084,1,3,132,Ninjago,0,1.0,Black,0.11267605633802817,62,20,686,83.0,Retired
10756-1,24.99,0.2975,0.101,1,3,84,Jurassic World: Fallen Kingdom,0,1.0,Dark Bluish Gray,0.14545454545454545,51,18,609,76.0,Retired
10757-1,29.99,0.3528235294117647,0.17,1,3,85,Jurassic World: Fallen Kingdom,0,1.0,Black,0.0625,45,17,830,67.0,Retired
10758-1,59.99,0.39993333333333336,0.234,1,3,150,Jurassic World: Fallen Kingdom,0,1.0,Black,0.06818181818181818,83,20,624,69.0,Retired
10759-1,24.99,0.26305263157894737,0.065,0,3,95,Juniors,1,1.0,Black,0.07246376811594203,63,21,454,85.0,Retired
10760-1,29.99,0.20127516778523488,0.061,0,3,149,Juniors,1,1.0,Light Bluish Gray,0.08139534883720931,73,23,510,84.0,Retired
1076-1,26.99,0.11786026200873362,0.077,0,22,229,Advent,0,1.0,Red,0.053763440860215055,39,14,503,65.0,Retired
10761-1,39.99,0.22466292134831461,0.15,1,3,178,Juniors,1,1.0,White,0.12844036697247707,91,23,574,81.0,Retired
