,Set number,Name,Also known as,Set type,Theme group,Theme,Subtheme,Year released,Tags,Pieces,RRP,Current value,Price per piece,Age range,Packaging,Dimensions,Availability,Notes,Rating,Minifigs,Weight,Barcodes,Designer,Designers,LEGO item numbers
8295,6478-1,Fire Fighters' HQ,,Normal,Modern day,Town,City,2000,View tags »AircraftBaseplateFireFire HelicopterFire StationFire TruckHelicopterJuniorisedLanding PadMotor TricycleMotorcyclePropeller AircraftRoad BaseplateTrailerTruck ,237,$50.00,"
New: ~CA$57
Used: ~CA$37
",21.1c,,Box,,Retail,, 6 Reviews,4,,,,,
8296,6479-1,Emergency Response Center,,Normal,Modern day,Town,Res-Q,1998,View tags »AircraftBoatDinghyHarbourHelicopterLanding PadMotor TricyclePropeller AircraftRaised BaseplateService VehicleTow Truck ,423,$60.00,"
New: ~CA$132
Used: ~CA$105
",14.2c,,Box,,Retail,Random set of the day on 23 Feb 2018,✭✭✭✭✭ 4.3 24 ratings 4 Reviews,5,,EAN: 5702010964796,,,
8297,6480-1,Hook and Ladder Truck,Fire Engine,Normal,Modern day,Town,Fire,1986,View tags »9VFireFire TruckLight And Sound SystemTrailerTruck ,118,$20.00,"
New: ~CA$341
Used: ~CA$46
",16.9c,,Box,,Retail,Includes 9V light and sound elements.,✭✭✭✭✩ 4.1 54 ratings 4 Reviews,1,,,,,
8298,648-1,Service Station,,Normal,Vintage,LEGOLAND,Building,1971,View tags »BaseplateCross PromotionService StationShell ,55,£0.55,"
New: ~CA$280
Used: ~CA$85
",1.0p,,Box,,Retail,Released April 1971 in the UK., 2 Reviews,,,,,,
8299,6481-1,Construction Crew,Road Works With Warning Lights,Normal,Modern day,Town,Construction,1989,View tags »9VConstructionElectricFront LoaderLight And Sound SystemTrailer ,169,$27.00,"
New: ~CA$266
Used: ~CA$45
",16.0c,,Box,,Retail,Includes 9V light elements.Random set of the day on 18 Oct 2020,✭✭✭✭✭ 4.4 48 ratings 5 Reviews,2,,,,,
8300,6482-1,Rescue Helicopter,Rescue Helicopter,Normal,Modern day,Town,Rescue,1989,View tags »9VAircraftAmbulanceElectricHelicopterLight And Sound SystemMedicalPropeller Aircraft ,198,$35.00,"
New: ~CA$301
Used: ~CA$65
",17.7c,,Box,,Retail,Includes 9V light and sound elements.,✭✭✭✭✭ 4.3 53 ratings 5 Reviews,3,,EAN: 5702010964826,,,
8301,6483-1,Coastal Patrol,,Normal,Modern day,Town,Police,1994,View tags »9VBoatElectricLight And Sound SystemPolice BoatPolice ShipSpeedboat ,243,$48.00,"
New: ~CA$145
Used: ~CA$85
",19.8c,,Box,,Retail,Includes 9V light and sound elements plus a micro motor.Random set of the day on 17 Jul 2020,✭✭✭✭✭ 4.3 22 ratings 3 Reviews,3,,,,,
8302,6484-1,F1 Hauler,,Normal,Modern day,Town,Rescue,1995,View tags »9VCarElectricElectric MotorFormula 1Light And Sound SystemMicromotorOctanPit StopRacingRacing CarService VehicleTow TruckTruck ,269,$49.50,"
New: ~CA$352
Used: ~CA$96
",18.4c,,Box,,Retail,Includes 9V light elements plus a micro motor.,✭✭✭✭✭ 4.4 21 ratings 2 Reviews,3,,,,,
8303,6486-1,Fire Engine,,Normal,Modern day,Town,Fire,1997,View tags »FireFire TruckJuniorisedTrailerTruck ,64,$10.00,"
New: ~CA$16
Used: ~CA$8
",15.6c,,Box,,Retail,,✭✭✭✩✩ 2.9 19 ratings 2 Reviews,1,,,,,
8304,6487-1,Mountain Rescue,,Normal,Modern day,Town,Outback,1997,View tags »AircraftHelicopterOctanPropeller Aircraft ,67,$6.00,"
New: ~CA$28
Used: ~CA$11
",9.0c,,Box,,Retail - limited,Limited release., 2 Reviews,1,,,,,
8305,6489-1,Seaside Holiday Cottage,,Normal,Modern day,Town,Paradisa,1997,View tags »BoatCatamaranDolphinKitchenSlide ,84,$13.25,"
New: ~CA$190
Used: ~CA$55
",15.8c,,Box,,Retail,, 1 Review,2,,,,,
8306,6490-1,Amazon Crossing,,Normal,Modern day,Town,Outback,1997,View tags »4X4CrocodileJungle BridgeParrotPickup TruckSprung ,117,$15.00,"
New: ~CA$64
Used: ~CA$33
",12.8c,,Box,,Retail,,✭✭✭✭✭ 4.5 55 ratings 9 Reviews,1,,EAN: 5702010964901,,,
8307,649-1,Low loader with excavator,,Normal,Vintage,LEGOLAND,Vehicle,1972,View tags »Articulated LorryExcavatorTrailerTruck ,35,,"
New: ~CA$131
Used: ~CA$21
",,,,,,,Not yet rated,,,,,,
8308,6491-1,Rocket Racer,,Normal,Action/Adventure,Time Cruisers,,1996,View tags »AircraftTime Machine ,58,$4.50,"
New: ~CA$31
Used: ~CA$7
",7.8c,,Box,,Retail,Random set of the day on 31 May 2019,✭✭✭✭✩ 3.3 42 ratings 6 Reviews,1,,,,,
8309,6492-1,Hypno Cruiser,,Normal,Action/Adventure,Time Cruisers,,1996,View tags »AircraftHelicopterMonkeyPropeller AircraftTime Machine ,157,$22.00,"
New: ~CA$93
Used: ~CA$28
",14.0c,,Box,,Retail,Same as 1853-1 ,✭✭✭✭✩ 3.9 24 ratings 2 Reviews,2,,,,,
8310,6493-1,Flying Time Vessel,,Normal,Action/Adventure,Time Cruisers,,1996,View tags »AircraftGalleonMonkeyPropeller AircraftShipTime Machine ,237,$44.00,"
New: ~CA$109
Used: ~CA$45
",18.6c,,Box,,Retail,,✭✭✭✭✩ 4.0 24 ratings 4 Reviews,2,,EAN: 5702010964932,,,
8311,6494-1,Magic Mountain Time Lab,,Normal,Action/Adventure,Time Cruisers,,1996,View tags »AircraftBaseplateLabMonkeyRobotSkeletonsTime Machine ,504,$64.00,"
New: ~CA$271
Used: ~CA$85
",12.7c,,Box,,Retail,Random set of the day on 24 May 2019,✭✭✭✭✩ 4.1 26 ratings 4 Reviews,4,,EAN: 5702010964949,,,
8312,6495-1,Time Tunnelator,,Normal,Action/Adventure,Time Cruisers,Time Twisters,1997,View tags »AircraftBatSpookyTime Machine ,81,$10.00,"
New: ~CA$33
Used: ~CA$15
",12.3c,,Box,,Retail,Random set of the day on 14 Sep 2020Same as 6499-1 ,✭✭✭✭✩ 3.6 29 ratings 2 Reviews,1,,,,,
8313,6496-1,Whirling Time Warper,,Normal,Action/Adventure,Time Cruisers,Time Twisters,1997,View tags »AircraftBatGhostPropeller AircraftSpookyTime Machine ,147,$22.00,"
New: ~CA$94
Used: ~CA$35
",15.0c,,Box,,Retail,Random set of the day on 26 Dec 2018,✭✭✭✭✩ 3.9 19 ratings 4 Reviews,2,,,,,
8314,6497-1,Twisted Time Train,,Normal,Action/Adventure,Time Cruisers,Time Twisters,1997,View tags »GhostParrotSkeletonsSpookySteam LocomotiveTime Machine ,300,$38.50,"
New: ~CA$151
Used: ~CA$67
",12.8c,,Box,,Retail,Random set of the day on 03 Mar 2020,✭✭✭✭✭ 4.4 18 ratings 4 Reviews,4,,,,,
8315,6498-1,Go-Kart,,Normal,Modern day,Town,Racing,1999,View tags »Go KartOctanPolybagRacingRacing Car ,22,$2.00,"
New: ~CA$9
Used: ~CA$4
",9.1c,,Polybag,,Retail - limited,Polybag version of 6436-1 , 1 Review,1,,,,,
