,Dates,RRP,set_num,from,to
67,24 Oct 07 - 13 Dec 07,$6.99,3462-1,24 Oct 07,13 Dec 07
68,22 Nov 07 - 22 Nov 07,$8.99,3485-1,22 Nov 07,22 Nov 07
69,07 Mar 09 - 15 Dec 09,£12.69,3594-1,07 Mar 09,15 Dec 09
70,31 May 11 - 26 Nov 12,CA$44.99,3658-1,31 May 11,26 Nov 12
71,24 Oct 07 - 02 Jan 08,£6.99,3773-1,24 Oct 07,02 Jan 08
72,24 Oct 07 - 23 Mar 08,£19.99,3825-1,24 Oct 07,23 Mar 08
73,24 Sep 10 - 07 Nov 12,CA$34.99,3833-1,24 Sep 10,07 Nov 12
74,18 Oct 09 - 04 Feb 10,£2.95,40003-1,18 Oct 09,04 Feb 10
75,22 Oct 10 - 23 Mar 11,£2.99,40008-1,22 Oct 10,23 Mar 11
76,06 Oct 10 - 23 Mar 11,£1.99,40012-1,06 Oct 10,23 Mar 11
77,13 Mar 11 - 21 Jul 11,£2.99,40017-1,13 Mar 11,21 Jul 11
78,02 Oct 13 - 26 Nov 13,CA$9.99,40056-1,02 Oct 13,26 Nov 13
79,01 Jun 15 - 01 Apr 17,CA$21.99,40156-1,01 Jun 15,01 Apr 17
80,02 Oct 17 - 15 Jan 18,CA$11.99,40263-1,02 Oct 17,15 Jan 18
81,08 May 20 - 23 Jun 20,£74.99,40366-1,08 May 20,23 Jun 20
82,11 Dec 12 - 29 Nov 13,CA$12.99,41002-1,11 Dec 12,29 Nov 13
83,05 Oct 14 - 26 Jan 15,CA$5.99,41047-1,05 Oct 14,26 Jan 15
84,02 Jan 15 - 16 Oct 15,CA$7.99,41087-1,02 Jan 15,16 Oct 15
85,02 Jan 15 - 19 Dec 15,CA$7.99,41088-1,02 Jan 15,19 Dec 15
86,24 Oct 07 - 18 Jan 08,$6.99,4109-1,24 Oct 07,18 Jan 08
87,02 Aug 15 - 28 Nov 16,CA$39.99,41104-1,02 Aug 15,28 Nov 16
88,01 Jan 18 - 24 Nov 18,CA$49.99,41152-1,01 Jan 18,24 Nov 18
89,01 Aug 16 - 20 Nov 17,CA$89.99,41179-1,01 Aug 16,20 Nov 17
90,01 Jan 18 - 02 Jan 19,CA$49.99,41193-1,01 Jan 18,02 Jan 19
91,24 Aug 18 - 20 Jan 20,CA$24.99,41287-1,24 Aug 18,20 Jan 20
92,02 Jan 17 - 03 Dec 17,CA$17.99,41301-1,02 Jan 17,03 Dec 17
93,02 Jan 17 - 02 Dec 17,CA$12.99,41305-1,02 Jan 17,02 Dec 17
94,02 Sep 17 - 19 Nov 17,CA$39.99,41326-1,02 Sep 17,19 Nov 17
95,01 Jan 18 - 27 Nov 18,CA$18.99,41330-1,01 Jan 18,27 Nov 18
96,03 Aug 20 - 30 Sep 20,CA$13.99,41435-1,03 Aug 20,30 Sep 20
97,01 Aug 18 - 23 Mar 20,CA$12.99,41451-1,01 Aug 18,23 Mar 20
98,01 Aug 18 - 24 Mar 20,CA$12.99,41452-1,01 Aug 18,24 Mar 20
99,24 Sep 17 - 25 Oct 18,CA$12.99,41488-1,24 Sep 17,25 Oct 18
100,02 Oct 15 - 03 Apr 16,CA$5.99,41546-1,02 Oct 15,03 Apr 16
101,02 Oct 15 - 23 Mar 16,CA$5.99,41548-1,02 Oct 15,23 Mar 16
102,01 Jun 16 - 17 Nov 16,CA$5.99,41570-1,01 Jun 16,17 Nov 16
103,02 Apr 18 - 25 Nov 18,CA$12.99,41609-1,02 Apr 18,25 Nov 18
104,11 Jul 18 - 30 Jan 19,CA$17.99,41618-1,11 Jul 18,30 Jan 19
105,07 Aug 18 - 21 Jan 19,CA$24.99,41622-1,07 Aug 18,21 Jan 19
106,21 Aug 18 - 27 Nov 18,CA$12.99,41624-1,21 Aug 18,27 Nov 18
107,02 Oct 18 - 06 Jan 19,CA$12.99,41629-1,02 Oct 18,06 Jan 19
108,15 Oct 11 - 19 Sep 12,CA$129.99,4184-1,15 Oct 11,19 Sep 12
109,25 May 20 - 02 Dec 20,CA$24.99,41914-1,25 May 20,02 Dec 20
110,31 May 11 - 20 Nov 12,CA$99.99,4194-1,31 May 11,20 Nov 12
111,01 Aug 16 - 21 Oct 17,CA$149.99,42053-1,01 Aug 16,21 Oct 17
112,30 Jul 16 - 30 Apr 19,CA$349.99,42056-1,30 Jul 16,30 Apr 19
113,17 Feb 17 - 28 Nov 17,CA$49.99,42061-1,17 Feb 17,28 Nov 17
114,01 Aug 17 - 01 Aug 18,CA$189.99,42066-1,01 Aug 17,01 Aug 18
115,01 Jan 18 - 07 Dec 18,CA$109.99,42076-1,01 Jan 18,07 Dec 18
116,29 May 13 - 30 Mar 14,CA$11.99,44013-1,29 May 13,30 Mar 14
117,24 Oct 07 - 03 Jan 08,£9.99,4499574-1,24 Oct 07,03 Jan 08
118,22 May 20 - now,CA$289.99,45002-1,22 May 20,now
119,24 Oct 07 - 03 Jan 08,£24.99,4500744-1,24 Oct 07,03 Jan 08
120,24 Oct 07 - 15 Feb 09,$19.99,4524081-1,24 Oct 07,15 Feb 09
121,15 Dec 11 - 30 Oct 12,CA$17.99,4527-1,15 Dec 11,30 Oct 12
122,04 Sep 12 - 21 Nov 14,£39.99,4630-1,04 Sep 12,21 Nov 14
123,10 Jan 08 - 11 Sep 08,£7.99,4659-1,10 Jan 08,11 Sep 08
124,25 Jun 08 - 04 Nov 08,$4.99,4683-1,25 Jun 08,04 Nov 08
125,24 Oct 07 - 11 Sep 08,£34.99,4828-1,24 Oct 07,11 Sep 08
126,21 May 08 - 20 Jul 09,£19.55,4863-1,21 May 08,20 Jul 09
127,24 Oct 07 - 03 Apr 08,$60.00,4896-1,24 Oct 07,03 Apr 08
128,24 Oct 07 - 04 Dec 08,£49.99,4960-1,24 Oct 07,04 Dec 08
129,10 Jan 08 - 02 Jul 09,£14.65,4964-1,10 Jan 08,02 Jul 09
130,24 Nov 08 - 25 Jun 09,£29.35,4968-1,24 Nov 08,25 Jun 09
131,24 Oct 07 - 10 Nov 09,£24.49,4974-1,24 Oct 07,10 Nov 09
132,24 Oct 07 - 10 Nov 08,£12.99,4976-1,24 Oct 07,10 Nov 08
133,24 Oct 07 - 03 Dec 10,£12.99,4979-1,24 Oct 07,03 Dec 10
134,24 Oct 07 - 10 Nov 09,£29.35,4987-1,24 Oct 07,10 Nov 09
135,24 Oct 07 - 01 Dec 09,£48.95,4988-1,24 Oct 07,01 Dec 09
136,21 Jun 12 - 03 Oct 12,CA$39.99,5001095-1,21 Jun 12,03 Oct 12
137,02 Oct 12 - 15 Feb 13,CA$54.99,5001125-1,02 Oct 12,15 Feb 13
138,10 Feb 14 - 19 Nov 14,£29.99,5001266-1,10 Feb 14,19 Nov 14
139,06 Nov 12 - 09 Apr 13,CA$39.99,5001352-1,06 Nov 12,09 Apr 13
140,05 Oct 12 - 09 Apr 13,CA$34.99,5001354-1,05 Oct 12,09 Apr 13
141,18 Sep 12 - 05 Mar 13,CA$17.99,5001377-1,18 Sep 12,05 Mar 13
142,18 Sep 12 - 11 Mar 15,CA$4.99,5001380-1,18 Sep 12,11 Mar 15
143,18 Sep 12 - 31 Dec 14,CA$4.99,5001382-1,18 Sep 12,31 Dec 14
144,18 Sep 12 - 16 Dec 20,CA$24.99,5001383-1,18 Sep 12,16 Dec 20
145,18 Sep 12 - 23 Feb 13,CA$36.99,5001384-1,18 Sep 12,23 Feb 13
146,18 Sep 12 - 09 Dec 12,CA$47.99,5001386-1,18 Sep 12,09 Dec 12
147,14 Jan 15 - 24 Jun 15,€12.99,5002201-1,14 Jan 15,24 Jun 15
148,14 Jan 15 - 05 Jul 16,€6.29,5002467-1,14 Jan 15,05 Jul 16
149,17 Sep 13 - 01 Dec 13,£12.99,5002470-1,17 Sep 13,01 Dec 13
150,20 Dec 13 - 18 Nov 15,CA$29.99,5002792-1,20 Dec 13,18 Nov 15
151,09 Feb 14 - 22 Oct 15,CA$69.99,5003545-1,09 Feb 14,22 Oct 15
152,14 Feb 14 - 03 Jul 15,CA$69.99,5003559-1,14 Feb 14,03 Jul 15
153,06 Feb 14 - 28 Nov 14,£9.99,5003565-1,06 Feb 14,28 Nov 14
154,14 Jan 15 - 23 Mar 16,€12.99,5003569-1,14 Jan 15,23 Mar 16
155,14 Jan 15 - 07 Mar 16,€12.99,5003570-1,14 Jan 15,07 Mar 16
156,10 Feb 14 - 21 Nov 14,£17.99,5003574-1,10 Feb 14,21 Nov 14
157,14 Jan 15 - 22 Jan 16,€19.99,5003576-1,14 Jan 15,22 Jan 16
158,18 Feb 14 - 21 Jan 15,CA$24.99,5003578-1,18 Feb 14,21 Jan 15
