set_num,Retail,Value,Growth,Annual growth,Available at,Not yet
10065-1,C$6.74,C$22.40,232.5%,6.9%,,
10066-1,C$6.74,C$26.99,300.6%,7.9%,,
10067-1,C$6.74,C$23.63,250.7%,4.5%,,
10068-1,C$3.36,C$10.84,222.5%,9.0%,,
10069-1,C$3.36,C$10.80,221.3%,3.7%,,
10070-1,C$3.36,C$13.50,301.6%,6.7%,,
10071-1,C$3.36,C$14.18,321.7%,4.2%,,
10072-1,C$13.49,C$33.75,150.3%,5.9%,,
10073-1,C$13.49,C$19.02,41.0%,2.8%,,
10074-1,C$13.49,C$24.33,80.4%,3.5%,,
10075-1,C$36.44,C$256.50,604.0%,5.4%,,
10076-1,C$17.54,C$43.08,145.7%,5.4%,,
10077-1,C$17.54,C$118.95,578.3%,11.9%,,
10078-1,C$12.14,C$101.52,736.5%,11.2%,,
10079-1,C$3.36,C$13.50,301.6%,8.8%,,
10080-1,C$3.36,C$24.80,637.8%,11.6%,,
10081-1,C$8.09,C$10.79,33.4%,1.8%,,
10082-1,C$8.09,,,,,
10083-1,C$8.09,,,,,
10090-1,C$4.71,C$16.82,257.0%,8.9%,,
100STORES-1,,C$64.37,,3.6%,,
10106-1,C$10.79,C$40.20,272.7%,9.9%,,
101-1,,C$64.67,,,,
1011-1,C$43.19,,,,,
10111-1,C$8.09,C$35.41,337.9%,8.1%,,
10112-1,C$9.44,C$28.81,205.3%,6.1%,,
10113-1,C$6.74,C$255.64,3694.8%,11.6%,,
10114-1,C$10.79,C$29.31,171.7%,5.4%,,
10115-1,C$6.74,C$21.25,215.4%,6.6%,,
10116-1,C$6.74,C$20.24,200.4%,7.1%,,
10117-1,C$6.74,C$8.38,24.4%,1.4%,,
10118-1,C$6.74,C$28.88,328.7%,9.5%,,
101-2,C$6.68,"C$1,077.26",16020.6%,,,
10121-1,C$13.49,C$133.52,890.0%,14.4%,,
10123-1,C$134.99,"C$2,592.65",1820.7%,9.5%,,
10124-1,C$80.99,C$639.44,689.6%,7.4%,,
10127-1,C$12.14,C$53.87,343.8%,9.4%,,
10128-1,C$67.49,C$342.00,406.8%,5.6%,,
10129-1,C$139.99,"C$2,180.33",1142.4%,13.1%,,
101-3,C$3.17,C$100.70,3074.0%,6.5%,,
1013-1,,,,,,
10131-1,C$94.49,C$541.74,473.4%,8.6%,,
10132-1,C$161.99,"C$1,638.91",911.8%,15.6%,,
10133-1,C$53.99,C$540.00,900.3%,8.1%,,
10134-1,C$179.99,"C$1,183.23",630.5%,9.4%,,
10135-1,C$47.24,C$63.87,35.2%,1.9%,,
10143-1,C$364.49,"C$3,308.11",807.6%,10.4%,,
10144-1,C$188.99,C$521.07,175.7%,7.4%,,
10145-1,C$6.74,C$39.22,482.2%,6.3%,,
10146-1,C$6.74,C$26.43,292.4%,8.9%,,
10147-1,C$6.74,C$19.72,192.8%,7.0%,,
10148-1,C$6.74,C$19.40,188.0%,6.8%,,
10149-1,C$6.74,C$15.98,137.3%,5.6%,,
10150-1,C$6.74,C$31.83,372.5%,10.2%,,
10151-1,C$53.99,C$404.96,650.1%,9.5%,,
10152-1,C$101.24,C$381.38,276.7%,4.7%,,
10153-1,C$33.74,C$135.00,300.2%,10.6%,,
10155-1,C$139.99,C$312.24,92.8%,4.1%,,
10156-1,C$20.24,C$84.89,319.5%,9.4%,,
