set_num,Retail,Value,Growth,Annual growth,Available at,Not yet
40019-1,C$5.39,C$14.27,164.9%,6.7%,,
40020-1,C$5.49,C$17.66,162.1%,7.4%,,
4002014-1,,C$300.36,,1.7%,,
4002015-1,,C$223.41,,29.4%,,
4002016-1,,C$297.66,,33.3%,,
4002017-1,,C$399.49,,14.9%,,
4002018-1,,C$223.65,,4.0%,,
4002019-1,,C$590.68,,37.2%,,
4002020-1,,C$328.44,,38.2%,,
4002-1,C$17.54,C$94.49,438.8%,6.9%,,
40021-1,C$6.99,C$10.21,51.5%,4.5%,,
40022-1,C$6.99,C$16.43,143.9%,6.3%,,
40023-1,C$6.99,C$16.46,144.3%,4.9%,,
40024-1,C$6.99,C$18.77,178.6%,7.9%,,
40025-1,C$6.74,C$30.81,357.3%,9.5%,,
40026-1,C$6.74,C$16.19,140.3%,8.1%,,
40028-1,C$6.99,C$17.82,164.5%,8.3%,,
40029-1,C$6.99,C$57.55,754.3%,14.7%,,
400-3,C$0.68,C$24.25,3492.0%,5.5%,,
40030-1,C$6.99,C$30.65,354.9%,19.6%,,
40031-1,C$6.99,C$16.89,150.7%,6.1%,,
40032-1,C$6.99,C$9.41,39.7%,3.7%,,
40033-1,C$6.99,C$20.30,201.4%,11.3%,,
40034-1,C$6.99,C$13.58,101.6%,5.5%,,
40035-1,C$6.99,C$10.75,59.5%,4.2%,,
40036-1,,C$12.68,,1.9%,,
40037-1,,C$23.45,,8.7%,,
40038-1,,C$16.12,,7.7%,,
40039-1,,C$10.26,,11.8%,,
400-4,C$0.68,,,,,
40040-1,,C$13.49,,5.0%,,
40041-1,,C$15.04,,8.6%,,
40042-1,,C$15.03,,17.4%,,
40043-1,,C$20.24,,11.0%,,
40044-1,,C$15.74,,8.0%,,
40045-1,,C$20.52,,7.8%,,
40046-1,,C$27.66,,4.1%,,
40047-1,,C$497.88,,34.4%,,
40048-1,C$6.74,C$12.64,87.6%,7.8%,,
40049-1,C$8.09,C$13.50,66.9%,6.6%,,
4005-1,C$13.49,C$671.03,4875.6%,10.8%,,
40051-1,C$6.99,C$31.55,368.3%,14.4%,,
40052-1,C$9.99,C$18.90,75.2%,6.9%,,
40053-1,C$6.99,C$31.12,361.9%,10.7%,,
40054-1,C$6.99,C$27.00,300.8%,10.9%,,
40055-1,C$6.99,C$23.79,253.1%,11.6%,,
40056-1,C$9.99,C$26.99,150.2%,13.8%,,
40057-1,C$9.99,C$25.68,138.0%,7.7%,,
40058-1,C$9.99,C$21.80,102.1%,7.9%,,
40059-1,C$9.99,C$33.75,212.9%,8.0%,,
40061-1,,C$20.28,,3.8%,,
40062-1,,C$27.62,,6.9%,,
40063-1,,C$22.71,,10.5%,,
40064-1,,C$10.80,,5.2%,,
40065-1,,C$10.53,,4.8%,,
40066-1,,C$11.07,,18.5%,,
40067-1,,C$30.66,,11.7%,,
40068-1,,C$25.31,,6.6%,,
40069-1,,C$15.69,,5.5%,,
40070-1,,C$24.46,,13.6%,,
40071-1,,C$19.02,,8.6%,,
40072-1,,C$16.43,,12.4%,,
40073-1,,C$36.21,,4.8%,,
40076-1,,C$27.12,,34.4%,,
40077-1,C$6.74,C$10.42,54.7%,3.2%,,
40078-1,,C$18.89,,22.7%,,
40079-1,,C$58.56,,2.4%,,
40080-1,C$17.99,C$35.07,73.3%,5.6%,,
40081-1,C$13.49,C$46.80,247.0%,19.5%,,
40081-2,C$13.49,C$46.80,247.0%,19.5%,,
40081-3,C$13.49,C$46.80,247.0%,19.5%,,
40081-4,C$13.49,C$46.80,247.0%,19.5%,,
40081-5,C$13.49,C$40.97,203.8%,17.2%,,
40081-6,C$13.49,C$40.97,203.8%,17.2%,,
40082-1,C$13.49,C$62.14,360.8%,10.2%,,
40083-1,C$13.49,C$54.14,301.4%,14.6%,,
40084-1,C$6.74,C$20.33,201.8%,12.9%,,
40085-1,C$11.99,C$26.66,97.7%,10.7%,,
40086-1,C$11.99,C$19.83,47.0%,6.4%,,
40090-1,C$11.99,C$16.20,20.1%,2.4%,,
40091-1,C$11.99,C$34.14,153.2%,10.6%,,
40092-1,C$11.99,C$29.70,120.2%,8.0%,,
40093-1,C$11.99,C$28.62,112.2%,9.2%,,
40094-1,,C$15.21,,4.9%,,
40095-1,,C$19.76,,12.9%,,
40096-1,,C$15.59,,10.3%,,
40097-1,,C$7.76,,7.8%,,
40098-1,,C$22.92,,8.7%,,
40099-1,,C$14.51,,6.7%,,
40-1,,C$282.27,,,,
40100-1,,C$13.42,,5.2%,,
4010-1,C$20.93,"C$1,080.00",5061.3%,12.7%,,
40101-1,,C$13.96,,7.9%,,
40102-1,,C$10.69,,5.3%,,
40103-1,,C$13.76,,3.8%,,
40104-1,,C$12.14,,6.2%,,
40105-1,,C$22.30,,9.3%,,
40106-1,,C$53.22,,11.3%,,
40107-1,,C$24.02,,6.8%,,
40108-1,C$6.74,C$26.99,300.6%,10.7%,,
40109-1,,C$40.62,,7.1%,,
40110-1,C$17.99,C$32.54,60.8%,7.1%,,
4011-1,C$26.66,C$182.76,585.5%,3.7%,,
40112-1,C$17.99,C$25.64,26.7%,3.3%,,
40114-1,C$17.99,C$47.84,136.4%,15.6%,,
40115-1,C$17.54,C$46.87,167.3%,8.8%,,
40116-1,C$8.09,C$15.04,86.0%,8.7%,,
40117-1,,C$31.28,,13.2%,,
40118-1,C$19.99,C$41.28,80.0%,7.8%,,
401-2,C$0.68,C$114.10,16804.0%,8.6%,,
40120-1,C$11.99,C$22.94,70.1%,10.4%,,
4012-1,C$26.99,C$118.80,340.2%,6.7%,,
40121-1,C$11.99,C$24.31,80.3%,7.0%,,
40122-1,C$11.99,C$35.02,159.7%,11.5%,,
40123-1,C$11.99,C$26.87,99.2%,7.8%,,
40124-1,C$11.99,C$22.55,67.2%,5.9%,,
40125-1,C$11.99,C$33.74,150.2%,12.5%,,
40126-1,,C$6.01,,5.5%,,
40127-1,,C$10.83,,5.3%,,
40128-1,,C$12.27,,5.9%,,
40129-1,,C$10.17,,23.9%,,
401-3,C$0.68,C$12.81,1798.0%,4.1%,,
40130-1,,C$9.50,,22.4%,,
4013-1,C$40.49,C$93.95,132.0%,5.1%,,
40131-1,,C$17.51,,12.9%,,
40132-1,,C$6.67,,22.0%,,
40133-1,,C$7.92,,19.8%,,
40134-1,,C$9.54,,5.7%,,
40135-1,,C$8.01,,9.4%,,
40136-1,,C$10.60,,3.8%,,
40137-1,,C$7.52,,26.8%,,
40138-1,,C$49.34,,5.6%,,
40139-1,,C$96.09,,10.6%,,
40140-1,C$6.74,C$21.59,220.4%,11.3%,,
4014-1,C$26.99,C$40.49,50.0%,2.4%,,
40141-1,C$26.99,C$37.04,37.3%,6.6%,,
40142-1,C$26.99,C$33.75,25.1%,3.8%,,
40143-1,C$26.99,C$31.59,17.1%,1.9%,,
40144-1,C$26.99,C$53.87,99.6%,8.1%,,
40145-1,,C$42.30,,31.4%,,
40146-1,,C$96.70,,8.2%,,
40148-1,,C$40.19,,9.3%,,
4015-1,C$20.24,C$743.82,3575.7%,10.0%,,
40153-1,C$11.99,C$24.34,80.5%,15.2%,,
40154-1,C$17.99,C$30.04,48.4%,6.7%,,
40155-1,C$17.99,C$31.24,54.4%,9.5%,,
40156-1,C$21.99,C$25.49,11.1%,4.1%,,
40158-1,C$74.99,C$102.60,26.7%,5.0%,,
4016-1,C$2.69,C$15.21,466.3%,13.5%,,
40161-1,C$49.99,C$60.37,11.8%,3.4%,,
40165-1,C$11.99,C$17.42,29.1%,4.8%,,
40166-1,C$26.99,C$29.25,8.4%,2.1%,,
40167-1,,C$4.95,,18.2%,,
40170-1,C$11.99,C$17.81,32.0%,10.4%,,
4017-1,C$2.69,C$19.16,613.1%,10.9%,,
40171-1,C$15.99,C$26.99,53.9%,10.2%,,
40172-1,C$24.99,C$35.17,30.3%,5.5%,,
40173-1,C$21.99,C$27.93,21.8%,9.1%,,
40174-1,C$69.99,C$97.51,31.4%,6.2%,,
40175-1,,C$7.82,,9.4%,,
40176-1,,C$12.15,,32.4%,,
40177-1,,C$15.94,,3.7%,,
40178-1,,C$16.24,,33.4%,,
40179-1,C$129.99,C$352.58,161.2%,26.1%,,
40180-1,C$26.99,C$27.73,2.8%,1.4%,,
4018-1,C$2.69,C$15.39,472.9%,9.6%,,
40181-1,C$26.99,C$36.38,34.8%,5.0%,,
40182-1,C$26.99,C$40.49,50.0%,5.2%,,
40183-1,C$26.99,C$31.24,15.8%,2.5%,,
40186-1,C$13.49,C$14.92,10.6%,5.5%,,
40187-1,C$6.99,C$11.93,47.6%,16.7%,,
40188-1,C$15.99,C$33.75,25.1%,28.2%,,
40190-1,C$8.03,C$8.22,2.4%,3.1%,,
4019-1,C$2.69,C$23.92,790.5%,12.2%,,
40191-1,C$8.03,C$8.64,7.6%,3.3%,,
40192-1,C$8.03,C$8.22,2.4%,3.0%,,
40193-1,C$8.03,C$8.22,2.4%,4.2%,,
40194-1,C$8.03,C$20.22,151.8%,14.4%,,
40195-1,C$14.78,C$14.40,,,,
40196-1,C$8.03,C$10.88,35.5%,5.2%,,
40197-1,C$11.99,C$20.25,50.2%,10.8%,,
40198-1,C$49.99,,,,retail,
40199-1,C$80.99,C$160.80,98.5%,19.4%,,
40200-1,,C$11.16,,1.9%,,
4020-1,C$38.48,C$310.50,707.0%,6.5%,,
40201-1,C$11.99,C$24.65,82.8%,8.0%,,
40202-1,C$11.99,C$16.02,18.8%,3.9%,,
40203-1,C$6.99,~C$13.49,,,,
40204-1,C$6.99,C$15.31,13.5%,1.9%,,
40205-1,C$11.99,C$20.32,50.7%,4.9%,,
40206-1,C$11.99,C$14.11,4.6%,1.3%,,
40207-1,,C$120.68,,18.1%,,
40208-1,,C$7.21,,6.0%,,
40209-1,,C$9.52,,3.1%,,
402-1,C$33.74,C$516.43,1430.8%,6.6%,,
40210-1,,C$11.88,,5.0%,,
4021-1,C$45.89,C$285.75,522.7%,8.0%,,
40211-1,,C$8.19,,29.1%,,
40212-1,,C$7.18,,22.1%,,
40213-1,,C$7.94,,11.1%,,
40214-1,,C$6.67,,18.7%,,
40215-1,,C$13.39,,29.9%,,
40216-1,,C$7.82,,30.4%,,
40217-1,,C$6.94,,19.6%,,
40218-1,,C$8.17,,2.1%,,
40219-1,,C$7.72,,3.1%,,
402-2,C$0.68,,,,,
40220-1,,C$13.77,,31.4%,,
4022-1,C$40.49,C$258.23,537.8%,6.5%,,
40221-1,C$12.99,C$25.43,88.6%,12.7%,,
40222-1,C$26.99,~C$26.99,,,,
40223-1,C$11.99,C$67.47,400.3%,31.3%,,
40225-1,C$53.99,C$80.23,48.6%,7.0%,,
40226-1,,C$37.07,,8.1%,,
40227-1,C$53.99,C$114.32,111.8%,9.2%,,
40228-1,C$26.99,C$25.23,,,,
402-3,C$0.68,C$29.00,4196.0%,5.8%,,
4023-1,C$5.39,C$32.24,498.5%,10.3%,,
40234-1,,C$32.67,,8.4%,,
40235-1,C$16.19,C$21.53,33.0%,7.4%,,
40236-1,C$4.99,C$15.65,132.3%,11.0%,,
40237-1,C$11.99,C$17.42,29.1%,5.4%,,
40239-1,,C$7.43,,32.4%,,
40240-1,,C$9.83,,7.1%,,
4024-1,C$20.24,C$76.26,276.9%,9.6%,,
40241-1,,C$7.40,,3.5%,,
40242-1,,C$6.49,,5.2%,,
40243-1,,C$7.18,,5.0%,,
40244-1,,C$10.04,,2.8%,,
40245-1,,C$10.53,,6.1%,,
40246-1,,C$8.24,,3.4%,,
40247-1,,C$6.40,,5.8%,,
40248-1,,C$9.45,,6.8%,,
40249-1,,C$10.00,,3.8%,,
40250-1,,C$11.76,,9.5%,,
4025-1,C$40.49,C$386.38,854.4%,6.1%,,
40251-1,C$20.24,C$20.25,0.1%,,,
40252-1,C$40.49,C$40.45,,,,
40253-1,C$40.49,C$40.50,0.0%,2.7%,,
40254-1,,C$41.15,,9.3%,,
40256-1,,C$17.17,,32.4%,,
40260-1,C$11.99,C$34.45,155.5%,24.7%,,
4026-1,C$4.71,C$21.60,358.5%,9.9%,,
40261-1,C$11.99,C$18.85,39.7%,7.3%,,
40262-1,C$11.99,C$19.71,46.1%,6.5%,,
40263-1,C$11.99,C$40.49,200.2%,23.1%,,
40264-1,C$11.99,C$20.24,50.1%,10.5%,,
40265-1,C$6.99,C$10.02,48.7%,14.1%,,
40266-1,C$8.09,C$17.54,116.9%,13.2%,,
40267-1,,C$5.43,,25.3%,,
40268-1,,C$7.97,,33.3%,,
40269-1,C$6.74,C$9.72,44.3%,7.5%,,
40270-1,C$11.99,C$16.46,22.0%,13.5%,,
4027-1,C$4.71,C$20.24,329.5%,8.7%,,
40271-1,C$11.99,C$13.73,1.8%,2.0%,,
40272-1,C$12.99,C$13.50,0.1%,,,
40273-1,C$12.99,,,,retail,
40274-1,C$24.99,,,,retail,
40276-1,,C$8.32,,4.3%,,
40277-1,,C$6.68,,33.4%,,
40278-1,,C$8.09,,8.6%,,
40279-1,,C$7.98,,2.4%,,
40280-1,,C$6.51,,4.0%,,
4028-1,C$13.49,C$77.90,477.6%,4.9%,,
40281-1,,C$6.75,,5.9%,,
40282-1,,C$8.72,,7.7%,,
40283-1,,C$6.97,,4.9%,,
40284-1,,C$6.52,,33.4%,,
40285-1,,C$8.65,,2.1%,,
40286-1,,C$5.39,,33.4%,,
40287-1,,C$10.27,,33.4%,,
40288-1,,C$14.97,,33.4%,,
40289-1,,C$135.84,,36.2%,,
40290-1,C$33.74,C$39.89,18.2%,7.1%,,
4029-1,C$13.49,C$111.55,727.1%,13.2%,,
40291-1,,C$36.40,,34.3%,,
40292-1,,C$40.50,,6.4%,,
40293-1,,C$59.81,,18.7%,,
40295-1,,C$28.11,,3.7%,,
40296-1,,C$4.44,,33.4%,,
40297-1,,C$9.94,,33.4%,,
40298-1,C$8.09,C$11.38,40.7%,7.4%,,
40299-1,,C$11.57,,34.3%,,
40300-1,,C$10.79,,34.3%,,
4030-1,C$59.40,C$613.70,933.2%,7.3%,,
40301-1,,C$12.27,,11.2%,,
40302-1,C$8.99,C$11.45,41.6%,13.5%,,
40303-1,,C$7.53,,5.3%,,
40304-1,,C$6.75,,10.1%,,
40305-1,C$26.99,,,,retail,
40306-1,C$26.99,C$29.97,11.1%,7.6%,,
40307-1,C$11.99,C$20.12,49.1%,20.4%,,
40308-1,C$8.09,C$13.50,66.9%,20.8%,,
40309-1,C$5.39,C$8.09,50.1%,18.4%,,
40310-1,C$5.39,,,,retail,
4031-1,C$70.19,C$353.54,403.7%,5.7%,,
40311-1,C$5.39,,,,retail,
40312-1,C$5.39,,,,retail,
40313-1,C$5.39,,,,retail,
40314-1,C$19.99,C$24.30,5.9%,6.3%,,
40315-1,,C$17.54,,36.2%,,
40318-1,C$33.75,C$107.97,219.9%,36.2%,,
403-2,C$0.68,,,,,
40320-1,,C$12.60,,13.4%,,
4032-1,C$26.99,C$170.32,531.1%,7.4%,,
4032-10,C$26.99,C$164.92,511.1%,9.1%,,
4032-11,C$26.99,C$226.65,739.9%,5.8%,,
40321-1,,C$5.93,,11.3%,,
4032-12,C$26.99,C$168.74,525.3%,10.5%,,
4032-13,C$26.99,C$168.74,525.3%,10.9%,,
4032-2,C$26.99,C$168.74,525.3%,8.5%,,
40322-1,,C$7.24,,5.2%,,
4032-3,C$26.99,C$150.84,458.9%,5.5%,,
40323-1,,C$7.05,,3.9%,,
4032-4,C$26.99,C$168.74,525.3%,8.1%,,
40324-1,,C$6.76,,10.8%,,
4032-5,C$26.99,C$171.95,537.2%,6.8%,,
40325-1,,C$7.59,,15.3%,,
4032-6,C$26.99,C$165.33,512.7%,12.2%,,
40326-1,,C$7.43,,5.7%,,
4032-7,C$26.99,C$574.06,2027.2%,20.7%,,
40327-1,,C$7.40,,11.0%,,
4032-8,C$26.99,C$157.75,484.5%,11.0%,,
40328-1,,C$7.83,,3.9%,,
4032-9,C$26.99,C$168.74,525.3%,11.0%,,
40329-1,,C$8.56,,16.4%,,
403-3,C$0.68,C$15.35,2174.0%,4.6%,,
40330-1,,C$10.04,,37.2%,,
40331-1,,C$6.33,,37.2%,,
40332-1,,C$7.76,,16.2%,,
40333-1,,C$51.57,,3.9%,,
40334-1,,C$41.08,,36.2%,,
40335-1,C$17.54,C$33.86,93.1%,34.4%,,
40336-1,,C$25.81,,36.2%,,
40337-1,,C$44.42,,5.9%,,
40338-1,,C$114.75,,37.2%,,
40341-1,C$4.99,,,,retail,
40342-1,C$16.99,C$25.47,45.3%,28.0%,,
40343-1,C$18.99,,,,retail,
40344-1,C$16.99,C$20.24,15.4%,10.3%,,
40345-1,C$16.99,C$24.02,11.3%,8.0%,,
40346-1,C$159.99,C$161.95,,,,
40347-1,C$20.24,,,,retail,
40348-1,C$12.99,,,,retail,
40349-1,C$12.99,C$20.20,49.7%,20.4%,,
40350-1,C$12.99,C$14.00,3.8%,3.9%,,
40351-1,C$12.99,C$23.77,76.3%,34.4%,,
40352-1,C$12.99,C$18.56,37.6%,24.4%,,
40353-1,C$24.99,,,,retail,
40354-1,C$12.99,,,,retail,
40355-1,,C$12.99,,37.2%,,
40356-1,,C$22.23,,21.0%,,
40357-1,C$20.24,,,,retail,
40358-1,C$20.24,C$20.25,0.1%,8.0%,,
40359-1,C$18.99,,,,retail,
40360-1,C$12.99,C$34.78,157.9%,34.4%,,
40361-1,,C$26.96,,37.2%,,
40362-1,,C$49.36,,37.2%,,
40366-1,C$119.99,C$205.48,69.1%,24.2%,,
40367-1,C$12.99,,,,retail,
40368-1,C$4.99,,,,retail,
40370-1,,C$36.45,,37.2%,,
4037-1,,C$14.40,,3.8%,,
40371-1,,C$10.84,,37.2%,,
40372-1,C$16.99,,,,retail,
40373-1,C$16.99,,,,retail,
40374-1,C$16.99,,,,retail,
40375-1,C$4.99,,,,retail,
40376-1,C$4.99,,,,retail,
40377-1,C$12.99,,,,retail,
40378-1,C$19.99,,,,retail,
40379-1,C$12.99,,,,retail,
40380-1,C$12.99,,,,retail,
4038-1,C$2.01,C$26.18,1201.3%,16.3%,,
40381-1,C$12.99,,,,retail,
40382-1,C$16.99,,,,retail,
40383-1,C$16.99,,,,retail,
40384-1,C$16.99,,,,retail,
40385-1,C$16.99,,,,retail,
40386-1,C$26.99,,,,retail,
40388-1,C$11.99,C$24.69,83.1%,22.5%,,
4039-1,C$26.99,,,,,
40391-1,C$26.99,,,,retail,
40393-1,C$24.29,,,,retail,
40395-1,,C$13.46,,,,
40396-1,,C$11.85,,,,
40397-1,,C$9.53,,9.1%,,
40398-1,,C$9.07,,37.2%,,
40399-1,,C$12.46,,,,
40400-1,,C$10.75,,37.2%,,
4040-1,,C$7.70,,13.5%,,
40401-1,,C$8.94,,,,
40402-1,,C$13.22,,,,
40403-1,,C$17.71,,10.5%,,
40404-1,,C$14.19,,,,
40405-1,,C$13.00,,37.2%,,
40406-1,,C$19.75,,,,
40407-1,,C$26.99,,37.2%,,
40408-1,,C$11.80,,,,
40409-1,C$17.99,~C$17.54,,,,
404-1,C$53.99,C$259.24,380.2%,3.7%,,
40410-1,,C$37.11,,,,
40411-1,,C$10.31,,,,
40412-1,,C$48.57,,,,
40413-1,,C$16.19,,,,
40414-1,,C$92.31,,,,
40416-1,C$19.99,~C$26.99,,,,
40418-1,C$19.99,,,,retail,
40419-1,C$19.99,,,,retail,
4042-1,,C$7.56,,29.5%,,
40422-1,C$12.99,,,,retail,
40423-1,C$16.99,,,,retail,
40424-1,C$16.99,,,,retail,
40425-1,C$12.99,,,,retail,
40426-1,C$44.99,,,,retail,
40428-1,C$26.99,,,,retail,
40429-1,C$49.99,,,,retail,
404-3,C$0.68,,,,,
4043-1,,C$1.78,,3.6%,,
40431-1,C$26.99,,,,retail,
40433-1,,C$170.10,,37.2%,,
40434-1,,C$7.92,,37.2%,,
40435-1,,C$11.26,,23.8%,,
40436-1,C$12.99,,,,retail,
40438-1,,,,,,
404-4,C$0.68,C$35.57,5170.0%,6.4%,,
40440-1,C$19.99,,,,retail,
4044-1,,C$9.40,,14.0%,,
40441-1,C$19.99,,,,retail,
40448-1,,C$20.24,,,,
4045-1,,C$14.76,,17.9%,,
40453-1,C$14.99,,,,retail,
40460-1,C$11.99,,,,retail,
40461-1,C$13.49,,,,retail,
40462-1,C$20.24,,,,retail,
40464-1,C$5.39,,,,retail,
40465-1,C$3.99,,,,retail,
40466-1,C$24.99,,,,retail,
40468-1,C$13.49,,,,retail,
40469-1,C$12.99,,,,retail,
4047-1,C$40.49,C$205.15,406.7%,10.0%,,
40474-1,,C$6.99,,6.1%,,
4048-1,C$40.49,C$149.65,269.6%,8.0%,,
4049-1,,C$192.35,,14.7%,,
40501-1,C$121.49,,,,retail,
4051-1,,C$97.81,,24.5%,,
4052-1,,C$17.94,,15.9%,,
4053-1,,C$15.66,,13.7%,,
4055-1,C$13.49,C$78.98,485.6%,8.0%,,
4056-1,,C$5.98,,8.1%,,
4057-1,,C$6.03,,14.5%,,
4058-1,,C$8.96,,9.3%,,
4059-1,,C$16.52,,10.0%,,
4060-1,,C$15.16,,6.1%,,
4061-1,,C$13.88,,5.7%,,
4062-1,,C$24.17,,9.7%,,
4063-1,,C$17.35,,5.0%,,
4064-1,,C$24.41,,3.0%,,
4065-1,,C$26.99,,9.7%,,
4066-1,,C$47.79,,20.1%,,
4067-1,,C$12.68,,15.3%,,
4068-1,,C$7.61,,8.8%,,
4069-1,,C$14.51,,18.2%,,
4070-1,,C$6.74,,8.8%,,
4071-1,,C$34.67,,16.6%,,
4072-1,,C$14.63,,10.9%,,
4073-1,,C$6.35,,11.9%,,
4074-1,,C$8.32,,15.6%,,
4075-1,,C$8.09,,19.2%,,
4076-1,,C$16.13,,10.5%,,
4077-1,,C$15.31,,8.1%,,
4078-1,,C$14.43,,15.9%,,
4079-1,,C$25.54,,6.3%,,
4080-1,C$16.19,,,,,
4081-1,C$10.79,,,,,
4082-1,C$16.19,C$31.51,94.7%,3.8%,,
4083-1,C$9.44,,,,,
4084-1,C$6.74,C$12.14,80.2%,2.4%,,
4085-1,C$13.49,C$64.95,381.6%,9.1%,,
4085-2,C$26.99,C$76.92,185.0%,7.2%,,
4085-3,C$13.49,C$35.44,162.8%,7.1%,,
4087-1,C$16.19,,,,,
4088-1,C$16.19,,,,,
4089-1,C$16.19,,,,,
4090-1,C$20.24,C$73.79,264.6%,4.1%,,
409-1,C$0.68,,,,,
4093-1,C$33.74,C$89.18,164.3%,5.0%,,
4094-1,C$53.99,C$151.20,180.1%,6.2%,,
4095-1,C$67.49,C$129.07,91.3%,3.8%,,
4096-1,C$13.49,C$36.50,170.7%,3.2%,,
4097-1,C$13.49,C$53.61,297.5%,3.9%,,
4098-1,C$13.49,C$33.74,150.2%,6.1%,,
4099-1,C$26.99,C$84.09,211.6%,7.4%,,
41000-1,C$7.99,C$14.67,55.5%,3.7%,,
4100-1,C$26.99,C$47.86,77.3%,7.3%,,
41001-1,C$12.99,C$16.40,21.6%,2.8%,,
41002-1,C$12.99,C$22.50,66.9%,7.2%,,
41003-1,C$12.99,C$20.25,50.2%,4.3%,,
41004-1,C$24.99,C$35.76,32.5%,3.6%,,
41005-1,C$59.99,C$189.31,180.5%,12.9%,,
41006-1,C$34.99,C$55.43,36.9%,3.9%,,
41007-1,C$39.99,C$64.85,60.2%,6.3%,,
41008-1,C$49.99,C$81.26,50.5%,6.0%,,
41009-1,C$12.99,C$23.75,76.1%,5.5%,,
410-1,C$4.71,C$104.22,2112.0%,9.7%,,
41010-1,C$12.99,C$21.02,55.9%,6.0%,,
4101-1,C$40.49,C$98.44,143.1%,6.2%,,
41011-1,C$12.99,C$27.00,100.2%,7.4%,,
41013-1,C$17.99,C$33.97,67.8%,7.7%,,
41015-1,C$89.99,C$206.43,118.5%,10.8%,,
41016-1,C$39.99,C$52.46,29.6%,3.0%,,
41017-1,C$5.99,C$11.53,71.1%,5.3%,,
41018-1,C$5.99,C$13.04,93.6%,8.0%,,
41019-1,C$5.99,C$11.91,76.8%,5.5%,,
41020-1,C$5.99,C$7.41,10.0%,2.6%,,
41021-1,C$5.99,C$8.38,24.4%,3.7%,,
41022-1,C$5.99,C$8.87,31.7%,4.0%,,
41023-1,C$5.99,C$11.54,71.3%,5.6%,,
41024-1,C$5.99,C$8.80,30.7%,3.9%,,
41025-1,C$5.99,C$8.87,31.7%,4.5%,,
41026-1,C$24.99,C$33.63,24.6%,2.4%,,
41027-1,C$12.99,C$26.49,96.4%,5.9%,,
41028-1,C$12.99,C$20.25,50.2%,6.3%,,
41029-1,C$12.99,C$18.89,40.0%,5.4%,,
41030-1,C$12.99,C$20.24,50.1%,4.5%,,
4103-1,C$6.74,C$41.32,513.4%,5.5%,,
41031-1,C$12.99,C$17.55,30.1%,2.8%,,
4103-2,C$6.74,C$41.93,522.4%,7.7%,,
41032-1,C$17.99,C$24.62,21.7%,3.3%,,
41033-1,C$24.99,C$53.99,100.1%,11.8%,,
41034-1,C$39.99,C$68.13,68.3%,7.2%,,
41035-1,C$39.99,C$49.11,21.3%,4.6%,,
41036-1,C$39.99,C$65.06,60.7%,6.6%,,
41037-1,C$49.99,C$109.04,102.0%,12.1%,,
41038-1,C$69.99,C$149.85,85.0%,10.5%,,
41039-1,C$89.99,C$191.74,102.9%,11.6%,,
41040-1,C$39.99,C$45.81,13.1%,1.4%,,
4104-1,C$10.79,C$55.31,412.8%,9.5%,,
41041-1,C$5.99,C$10.88,102.0%,7.8%,,
41042-1,C$5.99,C$9.54,77.2%,7.7%,,
41043-1,C$5.99,C$14.85,175.7%,11.0%,,
41044-1,C$5.99,C$6.90,28.1%,3.5%,,
41045-1,C$5.99,C$10.38,92.7%,8.6%,,
41046-1,C$5.99,C$10.19,89.2%,7.4%,,
41047-1,C$5.99,C$8.14,51.1%,15.5%,,
41048-1,C$5.99,C$10.68,98.2%,13.9%,,
41049-1,C$5.99,C$12.10,124.6%,15.4%,,
41050-1,C$15.99,C$32.97,88.0%,6.9%,,
4105-1,C$13.49,C$93.14,590.6%,7.2%,,
41051-1,C$24.99,C$107.19,297.2%,17.9%,,
4105-2,C$13.49,C$134.93,900.5%,7.5%,,
41052-1,C$39.99,C$71.82,77.4%,7.6%,,
4105-3,C$13.49,C$134.93,900.5%,17.9%,,
41053-1,C$39.99,C$51.08,26.2%,4.7%,,
41054-1,C$49.99,C$151.20,180.1%,14.0%,,
41055-1,C$89.99,C$146.06,54.6%,7.3%,,
41056-1,C$29.99,C$39.72,17.7%,1.9%,,
41057-1,C$49.99,C$142.67,164.3%,15.2%,,
41058-1,C$129.99,C$246.65,66.1%,8.9%,,
41059-1,C$39.99,C$132.73,227.8%,18.2%,,
41060-1,C$15.99,C$41.58,137.1%,12.1%,,
4106-1,C$13.49,C$149.22,1006.4%,14.3%,,
41061-1,C$24.99,C$55.71,106.5%,13.6%,,
41062-1,C$49.99,C$80.99,50.0%,10.4%,,
41063-1,C$69.99,C$201.42,171.3%,18.2%,,
41065-1,C$26.99,C$63.22,134.3%,19.4%,,
41066-1,C$39.99,C$54.22,33.9%,6.0%,,
41067-1,C$59.99,C$160.69,138.1%,24.1%,,
41068-1,C$74.99,C$108.27,33.7%,6.3%,,
41069-1,C$7.99,C$13.68,69.1%,9.5%,,
4107-1,C$26.99,C$126.29,368.0%,9.0%,,
41071-1,C$12.99,C$33.74,150.2%,14.9%,,
41072-1,C$24.99,C$94.46,250.0%,17.2%,,
41073-1,C$39.99,C$94.86,134.3%,17.4%,,
41074-1,C$39.99,C$122.99,203.8%,16.8%,,
41075-1,C$59.99,C$134.99,100.0%,13.4%,,
41076-1,C$17.99,C$45.37,124.2%,14.1%,,
41077-1,C$49.99,C$87.74,116.7%,14.3%,,
41078-1,C$99.99,C$217.08,101.0%,15.1%,,
4108-1,C$9.44,C$40.73,331.6%,4.8%,,
